Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
Back to Back,John Kincade,Brad Krevoy,Concorde Productions,James L Carter,Bill Paxton,Todd Field,Apollonia Kotero,Ben Johnson,Luke Askew,Drama,1990,,,,,,,,,,,1,1996,20,2,21,8,25
Crash and Burn,Charles Band,David DeCoteau,,Mac Ahlberg,Ralph Waite,Paul E Ganus,Megan Ward,Bill Moseley,Jack McGee,Sci-Fi,1990,,,2500000.0,,Native-born,North America (US),US,,,,0,1990,3,14,12,18,39
Love Hurts,Bud Yorkin,Bud Yorkin,,Adam Greenberg,Jeff Daniels,Cynthia Sykes,Judith Ivey,John Mahoney,Cloris Leachman,Comedy,1990,,,,,,,,,,,1,1991,8,8,10,0,29
Love Hurts,Barra Grant,Brian Reilly,Lantern Lane Entertainment,Alan Caso,Richard E. Grant,Carrie-Anne Moss,Johnny Pacar,Jenna Elfman,Janeane Garofalo,Romantic Comedy,2009,4.0,,,,Native-born,North America (US),US,,,,1,1991,8,8,10,0,29
Masters of Menace,Daniel Raskov,Lisa M. Hansen,New Line Cinema,Edward J Pei,David Rasche,Catherine Bach,Lance Kinsey,Teri Copley,Ray Baker,Adventure,1990,,,2000000.0,,,,,,,,0,1990,20,2,20,16,41
Night Eyes,Jag Mundhra,Ashok Amritraj,,James Mathers,Andrew Stevens,Tanya Roberts,Cooper Huckabee,Warwick Sims,Karen Baldwin,Thriller,1990,,,,,,,,,,,0,1990,7,0,20,18,32
Troll 2,Claudio Fragasso,,,Federiko Slonisko,Michael Stephenson,Connie McFarland,George Hardy,Margo Prey,Robert Ormsby,Horror,1990,,,,,,,,,,,0,1990,12,22,11,18,2
Witchcraft II: The Temptress,Mark Woods,James R Hanson,,Jens Sturup,Charles Solomon,Delia Sheppard,David L Homb,Mia Ruiz,Jay Richardson,Horror,1990,,,1400000.0,,,,,,,,0,1990,11,12,8,12,2
A Shock to the System,Jan Egleson,Patrick McCormick,Corsair Pictures,Paul Goldsmith,Michael Caine,Elizabeth McGovern,Peter Riegert,Swoosie Kurtz,Will Patton,Comedy,1990,,2011868.0,,,Native-born,North America (US),US,,,,1,1990,5,6,6,5,3
A Show of Force,Bruno Barreto,Fred Weintraub,,Jim Glennon,Amy Irving,Andy Garcia,Lou Diamond Phillips,Robert Duvall,Kevin Spacey,Adaptation,1990,,73405.0,10000000.0,,Foreign-born,,Brazilian,,,,1,1990,5,6,6,19,9
"After Dark, My Sweet",James Foley,Robert Redlin,Astral Films,Mark Plummer,Jason Patric,Rachel Ward,Bruce Dern,Rocky Giordani,Tom Wagner,Adaptation,1990,,535000.0,7100000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,3,14,20,4,37
Air America,Roger Spottiswoode,Daniel Melnick,TriStar Pictures,Roger Deakins,Mel Gibson,Robert Downey Jr.,Nancy Travis,Ken Jenkins,David Marshall Grant,Action,1990,,29219030.0,35000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,2407668.0,1,1990,19,3,6,18,2
Alice,Woody Allen,David Gale,MGM,Carlo Di Palma,Joe Mantegna,Mia Farrow,William Hurt,June Squibb,Marceline A. Hugot,Comedy,1990,,6759247.0,16600000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,10,17,20,18,2
Almost an Angel,John Cornell,John Cornell,,Russell Boyd,Paul Hogan,Linda Kozlowski,Elias Koteas,Doreen Lang,Robert Sutton,Comedy,1990,,6519481.0,24000000.0,,Foreign-born,,Australian,,,,0,1990,19,4,21,18,2
Angel Town,Eric Karson,Sunil R Shah,Taurus Entertainment Company,John LeBlanc,Olivier Gruner,Theresa Saldana,Frank Aragon,Tony Valentino,Peter Kong,Drama,1990,,,1800000.0,,,,,,,65000.0,0,1990,18,10,6,18,2
Arachnophobia,Frank Marshall,Kathleen Kennedy,Walt Disney,Mikael Salomon,Jeff Daniels,Harley Jane Kozak,John Goodman,Julian Sands,Stuart Pankin,Comedy,1990,,53194144.0,17500000.0,31000000.0,Native-born,North America (US),US,,,,1,1990,12,22,16,18,2
Avalon,Barry Levinson,Mark Johnson,TriStar Pictures,Allen Daviau,Armin Mueller-Stahl,Elizabeth Perkins,Joan Plowright,Kevin Pollak,Aidan Quinn,Drama,1990,,14874434.0,27000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,12,22,6,2,30
Awakenings,Penny Marshall,Walter F. Parkes,Sony Pictures,Miroslav Ondrícek,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,John Heard,Biopic,1990,,49404987.0,29000000.0,,,,,,,,1,1990,9,7,6,18,37
Bad Influence,Curtis Hanson,Steve Tisch,Triumph Releasing,Robert Elswit,Rob Lowe,James Spader,Lisa Zane,Christian Clemenson,Kathleen Wilhoite,Thriller,1990,,11313778.0,7000000.0,,Native-born,North America (US),US,,,,1,1990,7,21,3,0,17
Basket Case 2,Frank Henenlotter,Edgar Ievins,Shapiro/Glickenhaus Entertainment,Robert M Baldwin,Kevin Van Hentenryck,Annie Louise Ross,Kathryn Meisle,Heather Rattray,Jason Evers,Comedy,1990,,,2000000.0,,Native-born,North America (US),US,,,,0,1990,11,12,5,2,15
Betsy's Wedding,Alan Alda,Martin Bregman,Walt Disney,Kelvin Pike,Alan Alda,Joey Bishop,Madeline Kahn,Anthony LaPaglia,Catherine O'Hara,Comedy,1990,,19740070.0,15000000.0,,,,,,,,1,1990,12,22,17,2,26
Bloodfist II,Andrew Blumenthal,Roger Corman,Concorde Productions,Bruce Dorfman,"Don ""The Dragon"" Wilson",Rina Reyes,Joe Mari Avellana,Robert Marius,Maurice Smith,Action,1990,,,4000000.0,,,,,,,,0,1990,17,1,6,18,2
Blue Steel,Kathryn Bigelow,Edward R. Pressman,MGM,Amir Mokri,Jamie Lee Curtis,Ron Silver,Clancy Brown,Elizabeth Peña,Louise Fletcher,Action,1990,,7701707.0,6500000.0,,Native-born,North America (US),US,Female,Caucasian,,1,1990,16,20,18,9,2
Body Parts,Michael Paul Girard,Holly MacConkey,,Jerry Williams,Teri Lee,Phil Grossman,Johnny Mandell,Dick Monda,Clement Von Franckenstein,Horror,1991,,,,,,,,,,,0,1991,16,19,22,18,2
Cadillac Man,Roger Donaldson,Charles Roven,Orion Pictures,David Gribble,Robin Williams,Tim Robbins,Pamela Reed,Fran Drescher,Zack Norman,Comedy,1990,,26925967.0,22300000.0,,Foreign-born,Oceania,Australia,Male,Caucasian,,1,1990,22,19,19,5,36
Chance,Charles Kanganis,Richard Pepin,,,Lawrence-Hilton Jacobs,Dan Haggerty,Roger Rodd,Addison Randall,Richard Allen,Action,1990,,,,,,,,,,,0,2002,0,17,21,18,2
Child's Play 2,John Lafia,David M. Kirschner,Universal,Stefan Czapsky,Alex Vincent,Jenny Agutter,Gerrit Graham,Christine Elise,Grace Zabriskie,Horror,1990,,26874812.0,12000000.0,13000000.0,Native-born,North America (US),US,,,7262000.0,0,1990,6,4,6,18,2
Class of 1999,Mark L. Lester,Mark L. Lester,Taurus Entertainment Company,Mark Irwin),Malcolm McDowell,Bradley Gregg,John P Ryan,Pam Grier,Stacy Keach,Action,1990,,1400149.0,7500000.0,,Native-born,North America (US),US,Male,,,1,1990,1,15,6,18,18
Click,John Stewart,Carol Lynn,Crown International Pictures,Thomas L Callaway,Ross Hagen,Gregory Scott Cummins,Keely Sims,Hoke Howell,Troy Donahue,Thriller,1990,,,,,,,,,,,0,2006,12,22,6,17,7
Click,Frank Coraci,Neal H. Moritz,Sony Pictures,Dean Semler,Adam Sandler,Kate Beckinsale,Christopher Walken,David Hasselhoff,Henry Winkler,Comedy,2006,2.0,137340146.0,82000000.0,82500000.0,Native-born,North America (US),US,Male,Caucasian,100329456.0,1,2006,12,22,6,17,7
Come See the Paradise,Alan Parker,Robert F Colesberry,20th Century Fox,Michael Seresin,Dennis Quaid,Tamlyn Tomita,Sab Shimono,Shizuko Hoshi,Stan Egi,Drama,1990,,850563.0,25000000.0,,Foreign-born,,,Male,,,1,1990,12,22,10,11,18
Coupe de Ville,Joe Roth,Larry Brezner,Universal,Reynaldo Villalobos,Alan Arkin,Joseph Bologna,Annabeth Gish,Daniel Stern,Patrick Dempsey,Comedy,1990,,592089.0,11000000.0,,Native-born,North America (US),US,,,,1,1990,1,3,18,15,27
Crazy People,Tony Bill,Thomas Barad,Paramount Pictures,Victor J Kemper,Dudley Moore,Daryl Hannah,Paul Reiser,J.T. Walsh,Bill Smitrovich,Comedy,1990,,12725925.0,22000000.0,,,,,,,,1,1990,10,5,20,18,18
Darkman,Sam Raimi,Robert Tapert,,Bill Pope,Liam Neeson,Frances McDormand,Colin Friels,Larry Drake,Nelson Mashita,Action,1990,,32821614.0,15000000.0,,Native-born,North America (US),US,,,,1,1990,6,20,6,5,2
Days of Thunder,Tony Scott,Don Simpson,Paramount Pictures,Ward T Russell,Tom Cruise,Robert Duvall,Nicole Kidman,Randy Quaid,Cary Elwes,Action,1990,,80595202.0,59000000.0,60000000.0,Foreign-born,,,,,75000000.0,1,1990,22,19,16,18,2
Desperate Hours,Michael Cimino,Dino de Laurentiis,MGM,Douglas Milsome,,,,,,Adaptation,1990,,2624629.0,13000000.0,,,,,,,,0,1990,18,10,6,18,18
Dick Tracy,Warren Beatty,Warren Beatty,Walt Disney,Vittorio Storaro,Warren Beatty,Charlie Korsmo,Glenne Headly,Madonna,Al Pacino,Action,1990,,103738726.0,41000000.0,47000000.0,Native-born,North America (US),US,Male,Caucasian,59000000.0,1,1990,6,20,16,18,44
Downtown,Richard Benjamin,Charles H Maguire,20th Century Fox,Richard H. Kline,Anthony Edwards,Forest Whitaker,Penelope Ann Miller,Joe Pantoliano,David Clennon,Action,1990,,2205486.0,10000000.0,,,,,,,,1,1990,20,2,8,6,2
Edward Scissorhands,Tim Burton,Tim Burton,20th Century Fox,Stefan Czapsky,Johnny Depp,Winona Ryder,Dianne Wiest,Anthony Michael Hall,Kathy Baker,Drama,1990,,54155571.0,22000000.0,20000000.0,Native-born,North America (US),US,Male,Caucasian,,1,1990,0,3,6,18,2
Ernest Goes to Jail,John R Cherry III,Stacy Williams,Walt Disney,Peter Stein,Jim Varney,Gailard Sartain,Bill Byrge,Barry Scott,"Randall ""Tex"" Cobb",Adventure,1990,,25029569.0,9000000.0,,,,,,,,0,1990,0,17,8,18,2
Fire Birds,David Green,Bill Badalato,Walt Disney,Tony Imi,Nicolas Cage,Tommy Lee Jones,Sean Young,Bryan Kestner,Dale Dye,Action,1990,,14760451.0,22000000.0,,,,,Male,,,1,1990,2,13,8,18,2
Flashback,Franco Amurri,Marvin Worth,Paramount Pictures,Stefan Czapsky,Dennis Hopper,Kiefer Sutherland,Carol Kane,Cliff De Young,Richard Masur,Action,1990,,5993050.0,12000000.0,,Foreign-born,,Italian,,,,1,1990,22,21,16,15,43
Flatliners,Joel Schumacher,Michael Douglas,Sony Pictures,Jan de Bont,Kiefer Sutherland,Julia Roberts,William Baldwin,Kevin Bacon,Oliver Platt,Drama,1990,,58699450.0,17000000.0,26000000.0,Native-born,North America (US),US,,,,1,1990,0,17,22,6,2
Frankenhooker,Frank Henenlotter,Edgar Ievins,Shapiro/Glickenhaus Entertainment,Robert M Baldwin,James Lorinz,Patty Mullen,Louise Lasser,Charlotte Heimkamp,Joseph Gonzalez,Comedy,1990,,,1500000.0,,Native-born,North America (US),US,,,,0,1990,19,13,18,18,2
Funny About Love,Leonard Nimoy,Jon Avnet,Paramount Pictures,Fred Murphy,Gene Wilder,Christine Lahti,Mary Stuart Masterson,Robert Prosky,Stephen Tobolowsky,Comedy,1990,,7649688.0,16500000.0,,Native-born,North America (US),US,,,,1,1990,10,0,18,8,32
Getting Lucky,Michael Paul Girard,Philip J Jones,,Gerald M Williams,Steven Cooke,Lezlie Z McCraw,Rick McDowell,Jean Stewart,Dick Monda,Comedy,1990,,,,,,,,,,,0,1990,1,15,9,18,20
Ghost,Jerry Zucker,Lisa Weinstein,Paramount Pictures,Adam Greenberg,Patrick Swayze,Demi Moore,Whoopi Goldberg,Tony Goldwyn,Stanley Lawrence,Drama,1990,,214288325.0,24000000.0,22000000.0,Native-born,North America (US),US,,,299968694.0,1,1990,13,18,8,18,2
Ghost Dad,Sidney Poitier,Terry D Nelson,Universal,Andrew Laszlo,Bill Cosby,Denise Nicholas,Kimberly Russell,Ian Bannen,Christine Ebersole,Comedy,1990,,20876910.0,20000000.0,,Native-born,North America (US),US,,,,0,1990,12,22,13,5,2
Ghosts Can't Do It,John Derek,John Derek,Triumph Releasing,John Derek,Bo Derek,Anthony Quinn,Leo Damian,Don Murray,Julie Newmar,Comedy,1990,,,3000000.0,,,,,,,,1,1990,3,14,22,22,0
Goodfellas,Martin Scorsese,Irwin Winkler,Warner Bros.,Michael Ballhaus,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino,Crime,1990,,42613326.0,29100000.0,25000000.0,Native-born,North America (US),US,Male,Caucasian,33538.0,1,1990,5,6,16,18,2
Graffiti Bridge,Prince,Arnold Stiefel,,Bill Butler,Prince,Ingrid Chavez,Morris Day,Jerome Benton,Michael Bland,Musical,1990,,4217937.0,15000000.0,,,,,,,,0,1990,7,21,20,18,8
Green Card,Peter Weir,Peter Weir,,Geoffrey Simpson,Gérard Depardieu,Andie MacDowell,Gregg Edelman,Bebe Neuwirth,Robert Prosky,Comedy,1990,,29754169.0,12000000.0,,Foreign-born,,Australian ,,,,1,1990,0,17,20,18,2
Gremlins 2: The New Batch,Joe Dante,Michael Finnell,,John Hora,Zach Galligan,Phoebe Cates,John Glover,Robert Prosky,Robert Picardo,Comedy,1990,,40492973.0,32000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,,0,1990,19,4,5,18,2
Guns,Andy Sidaris,Arlene Sidaris,Malibu Bay Films,Howard Wexler,Erik Estrada,Dona Speir,Roberta Vasquez,Bruce Penhall,Cynthia Brimhall,Action,1990,,,,,,,,,,,0,1990,5,6,15,18,7
Hard to Kill,Bruce Malmuth,Bill Todman Jr.,,Matthew Leonetti,Steven Seagal,Kelly LeBrock,William Sadler,Fred Coffin,Bonnie Burroughs,Action,1990,,46607114.0,10000000.0,,Native-born,North America (US),US,,,,0,1990,14,16,21,6,32
Hardware,Richard Stanley,Paul Trijbits,Miramax,Steve Chivers,Dylan McDermott,Stacey Travis,John Lynch,William Hootkins,Iggy Pop),Horror,1990,,5100000.0,1800000.0,,Foreign-born,,South African,,,,0,1990,19,13,6,18,2
Havana,Sydney Pollack,Sydney Pollack,Universal,Owen Roizman,Robert Redford,Lena Olin,Alan Arkin,Raul Julia,Tomas Milian,Drama,1990,,8790749.0,40000000.0,,Native-born,North America (US),US,,,,1,1990,10,17,6,6,2
Heart Condition,Jim Parriott,Steve Tisch,Alliance Films,Arthur Albert,Bob Hoskins,Denzel Washington,Chloe Webb,Ja'Net DuBois,Ron Taylor,Action,1990,,4134992.0,10000000.0,,,,,,,,1,1990,8,8,3,20,11
Home Alone,Chris Columbus,John Hughes,RLJ Entertainment,Julio Macat,Macaulay Culkin,Joe Pesci,Daniel Stern,John Heard,Roberts Blossom,Comedy,1990,,281493907.0,17500000.0,15000000.0,Native-born,North America (US),US,Male,Caucasian,190923432.0,1,1990,18,10,1,18,2
House Party,Reginald Hudlin,Warrington Hudlin,Alliance Films,Peter Deming,"Christopher ""Kid"" Reid",Christopher Martin,Tisha Campbell-Martin,A.J. Johnson,Martin Lawrence,Comedy,1990,,26381219.0,2600000.0,,Native-born,North America (US),US,Male,Black or African American,,1,1990,18,8,17,18,2
I Come in Peace,Craig R. Baxley,Jeff Young,Triumph Releasing,Mark Irwin),Dolph Lundgren,Betsy Brantley,Markham,Froggatt & Irwin ),Brian Benben,Sci-Fi,1990,,3970117.0,12000000.0,,,,,,,,0,1990,16,20,6,5,2
I Love You to Death,Lawrence Kasdan,Jeffrey Lurie,TriStar Pictures,Owen Roizman,,,,,,Comedy,1990,,14897031.0,12000000.0,,Native-born,North America (US),US,,,,0,1990,15,9,20,16,41
Internal Affairs,Mike Figgis,Frank Mancuso Jr.,Paramount Pictures,John Alonzo,Richard Gere,Andy Garcia,Nancy Travis,Laurie Metcalf,Richard Bradford,Drama,1990,,25782425.0,16000000.0,,Foreign-born,Africa,Kenya,Male,Caucasian,128026.0,1,1990,16,6,21,18,25
Jacob's Ladder,Adrian Lyne,Alan Marshall,TriStar Pictures,Jeffrey L Kimball,,,,,,Horror,1990,,24847894.0,27800000.0,,Native-born,North America (US),US,,,,0,1990,22,19,6,0,2
Jetsons: The Movie,William Hanna,Gary Nardino,Universal,,,,,,,Adaptation,1990,,17604855.0,10000000.0,,,,,,,,0,1990,0,17,11,18,2
Joe Versus the Volcano,John Patrick Shanley,Teri Schwartz,,Stephen Goldblatt,Tom Hanks,Meg Ryan,Lloyd Bridges,Robert Stack,Abe Vigoda,Adventure,1990,,39146273.0,29000000.0,,,,,,,,1,1990,0,17,11,18,2
Kindergarten Cop,Ivan Reitman,Brian Grazer,Universal,Michael Chapman,Arnold Schwarzenegger,Penelope Ann Miller,Pamela Reed,Linda Hunt,Richard Tyson,Action,1990,,88590863.0,30000000.0,26000000.0,Foreign-born,,Slovak,,,110542312.0,1,1990,1,15,9,18,29
King of New York,Abel Ferrara,Mary E Kane,Seven Arts Entertainment,Bojan Bazelli,Christopher Walken,David Caruso,Laurence Fishburne,Victor Argo,Wesley Snipes,Thriller,1990,,2554103.0,10000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,16,20,6,5,2
Leatherface: The Texas Chainsaw Massacre III,Jeff Burr,Robert E. Engelman,New Line Cinema,James L Carter,Ken Foree,Kate Hodge,Viggo Mortensen,Joe Unger,Tom Everett,Horror,1990,,5758627.0,4000000.0,,Native-born,North America (US),US,,,,1,1990,6,4,21,22,2
Look Who's Talking Too,Amy Heckerling,Jonathan D Krane,TriStar Pictures,Thomas Del Ruth,John Travolta,Kirstie Alley,Olympia Dukakis,Elias Koteas,Twink Caplan,Comedy,1990,,44153083.0,20000000.0,,Native-born,North America (US),US,,,,1,1990,19,17,3,8,2
Loose Cannons,Bob Clark,Aaron Spelling,TriStar Pictures,Reginald Morris,Gene Hackman,Dan Aykroyd,Dom DeLuise,Ronny Cox,Nancy Travis,Comedy,1990,,4463085.0,26000000.0,,Native-born,North America (US),US,,,,1,1990,11,12,1,5,2
Lord of the Flies,Harry Hook,Ross Milloy,Sony Pictures,Martin Fuhrer,Balthazar Getty,Chris Furrh,Danuel Pipoly,James Badge Dale,Andrew Taft,Drama,1990,,12334628.0,10000000.0,,Foreign-born,,,,,,0,1990,6,4,18,6,2
Loser,Erik Burke,Steven Deshle,,John Shepphird,Brendan Kelly,John Salemmo,Bernice DeLeo,Nadine Miral,Wendy Adams,Comedy,1991,,,,,,,,,,,0,2000,10,0,16,18,2
Loser,Kirk Harris,Peter Baxter,Movieworld Entertainment,Kent Wakeford,Kirk Harris,Jonathon Chaus,Norman Saleet,Peta Wilson,Jack Rubio,Drama,1996,,,38000.0,,,,,Male,,,0,2000,10,0,16,18,2
Loser,Amy Heckerling,Amy Heckerling,Sony Pictures,Robert S Hahn,Jason Biggs,Mena Suvari,Zak Orth,Tom Sadoski,Jimmi Simpson,Comedy,2000,3.0,15464026.0,21450000.0,20000000.0,Native-born,North America (US),US,,,2786080.0,0,2000,10,0,16,18,2
Love at Large,Alan Rudolph,David Blocker,RLJ Entertainment,Elliot Davis,Tom Berenger,Elizabeth Perkins,Anne Archer,Kate Capshaw,Annette O'Toole,Comedy,1990,,708592.0,8100000.0,,Native-born,North America (US),US,Male,Caucasian,,0,1990,3,14,22,5,13
Madhouse,Tom Ropelewski,Leslie Dixon,Orion Pictures,Denis Lewiston,John Larroquette,Kirstie Alley,Alison LaPlaca,John Diehl,Bradley Gregg,Comedy,1990,,20345541.0,8000000.0,,,,,,,,0,1990,18,3,1,18,2
Maniac Cop 2,William Lustig,Larry Cohen,,James Lemmo,Robert Davi,Claudia Christian,Michael Lerner,Bruce Campbell,Laurene Landon,Other,1990,,,7000000.0,,,,,,,,1,1990,6,20,13,0,30
Marked for Death,Dwight Little,Mark Victor,20th Century Fox,Ric Waite,Steven Seagal,Basil Wallace,Keith David,Tom Wright,Joanna Pacula,Action,1990,,43120554.0,11800000.0,,Native-born,North America (US),US,Male,,,0,1990,16,4,21,8,2
Megaville,Peter Lehner,Christina Schmidlin,,Zoltan David,Billy Zane,Kristen Cloke),Grace Zabriskie,Daniel J Travanti,J C Quinn,Action,1990,,,1500000.0,,,,,,,,1,1990,16,13,6,18,25
Memphis Belle,Michael Caton-Jones,David Puttnam,,David Watkin,Matthew Modine,Eric Stoltz,Tate Donovan,D.B. Sweeney,Billy Zane,Adaptation,1990,,25452640.0,18000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1,1990,2,13,21,18,25
Men Don't Leave,Paul Brickman,Paul Brickman,,Bruce Surtees,Jessica Lange,Tom Mason,Arliss Howard,Joan Cusack,Kathy Bates,Drama,1990,,5801430.0,15000000.0,,Native-born,North America (US),US,,,,1,1990,14,16,18,18,2
Meridian: Kiss of the Beast,Charles Band,Charles Band,Castle Hill Productions,Mac Ahlberg,Sherilyn Fenn,Malcolm Jamieson,Hilary Mason,Phil Fondacaro,Vernon Dobtcheff,Horror,1990,,,3000000.0,,Native-born,North America (US),US,,,,0,1990,4,11,17,6,11
Mermaids,Richard Benjamin,Wallis Nicita,Orion Pictures,Howard Atherton,Cher,Winona Ryder,Bob Hoskins,Michael Schoeffling,Christina Ricci,Comedy,1990,,34874648.0,20800000.0,,,,,,,,1,1990,15,9,17,18,2
Metamorphosis: The Alien Factor,Glenn Takakjian,Ted A Bohus,,John Corso,Tara Leigh,Tony Gigante,Dianna Flaherty,Katherine Romaine,Marcus Powell,Horror,1991,,,5600000.0,,,,,,,,0,1990,4,11,11,3,42
Metropolitan,Whit Stillman,Whit Stillman,Cinephile,John Thomas,Carolyn Farina,Edward Clements,Taylor Nichols,Chris Eigeman,Allison Rutledge-Parisi,Comedy,1990,,21711.0,1000000.0,430000.0,Native-born,North America (US),US,Male,Caucasian,,0,1990,10,3,6,22,2
Miami Blues,George Armitage,Jonathan Demme,RLJ Entertainment,Tak Fujimoto,Alec Baldwin,Fred Ward,Jennifer Jason Leigh,Charles Napier,Nora Dunn,Comedy,1990,,8769115.0,8000000.0,,Native-born,North America (US),US,,,,1,1990,16,17,14,5,2
Miller's Crossing,Joel Coen,Ethan Coen,20th Century Fox,Barry Sonnenfeld,Gabriel Byrne,Arcieri & Associates,Inc.),Marcia Gay Harden,Albert Finney,Crime,1990,,4693759.0,18000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1990,6,20,10,13,32
Misery,Rob Reiner,Rob Reiner,Sony Pictures,Barry Sonnenfeld,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,Lauren Bacall,Thriller,1990,,54696972.0,21000000.0,,Native-born,North America (US),US,Male,Caucasian,6643.0,1,1990,0,17,19,5,36
Mo' Better Blues,Spike Lee,Spike Lee,Universal,Ernest Dickerson,Denzel Washington,Spike Lee,Wesley Snipes,Giancarlo Esposito,Robin Harris,Comedy,1990,,15897125.0,10000000.0,10000000.0,Native-born,North America (US),US,Male,Black or African American,,1,1990,8,8,10,18,2
Mountains of the Moon,Bob Rafelson,Daniel Melnick,TriStar Pictures,Roger Deakins,Patrick Bergin,Iain Glen,Fiona Shaw,Richard E. Grant,Arian Rawlins,Adventure,1990,,1380753.0,20000000.0,,Native-born,North America (US),US,,,,1,1990,7,21,14,20,20
Mr. Destiny,James Orr,James Orr,Walt Disney,Alex Thomson,Jim Belushi,Linda Hamilton,Michael Caine,Jon Lovitz,Hart Bochner,Comedy,1990,,15355313.0,14000000.0,,Foreign-born,,,,,,1,1990,22,19,6,5,2
My Blue Heaven,Herbert Ross,Herbert Ross,,John Bailey,Steve Martin,Rick Moranis,Joan Cusack,Melanie Mayron,Bill Irwin,Comedy,1990,,22831718.0,20000000.0,,Native-born,North America (US),US,,,,1,1990,18,10,16,9,20
Narrow Margin,Peter Hyams,Jonathan A Zimbert,TriStar Pictures,Peter Hyams,Gene Hackman,Anne Archer,James B Sikking,J.T. Walsh,M. Emmet Walsh,Thriller,1990,,10143662.0,21000000.0,,,,,,,,1,1990,5,6,6,18,1
Night of the Living Dead,Tom Savini,John A Russo,Sony Pictures,Frank Prinzi,Tony Todd,Tom Towles,McKee Anderson,Katie Finneran,Bill Mosley,Horror,1990,,5427920.0,8500000.0,4200000.0,Native-born,North America (US),US,,,,0,1990,18,4,5,18,2
Pacific Heights,John Schlesinger,Scott Rudin,20th Century Fox,Amir Mokri,Melanie Griffith,Matthew Modine,Michael Keaton,Mako,Nobu McCarthy,Thriller,1990,,27892883.0,22500000.0,,,,,,,,1,1990,2,13,21,18,2
Payback,Addison Randall,Joseph Merhi,,F Smith Martin,Roger Rodd,Denise Dougherty,Jeannie Daly,Deron McBee,Charla Driver,Action,1990,,,,,,,,,,,0,1995,13,18,21,17,23
Payback,Addison Randall,Joseph Merhi,,F Smith Martin,Roger Rodd,Denise Dougherty,Jeannie Daly,Deron McBee,Charla Driver,Action,1990,,,,,,,,,,,0,1999,6,20,8,5,26
Payback,Russell Solberg,Thomas B Sarmento,,Arthur R Botham,Michael Ironside,Corey Michael Eubanks,Don Swayze,Vince Van Patten,Teresa Blake,Action,1991,,,3000000.0,,,,,,,,0,1995,13,18,21,17,23
Payback,Russell Solberg,Thomas B Sarmento,,Arthur R Botham,Michael Ironside,Corey Michael Eubanks,Don Swayze,Vince Van Patten,Teresa Blake,Action,1991,,,3000000.0,,,,,,,,0,1999,6,20,8,5,26
Payback,Brian Helgeland,Bruce Davey,Paramount Pictures,Ericson Core,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,Bill Duke,Action,1999,,81517441.0,44000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,80100000.0,1,1995,13,18,21,17,23
Payback,Brian Helgeland,Bruce Davey,Paramount Pictures,Ericson Core,Mel Gibson,Gregg Henry,Maria Bello,David Paymer,Bill Duke,Action,1999,,81517441.0,44000000.0,50000000.0,Native-born,North America (US),US,Male,Caucasian,80100000.0,1,1999,6,20,8,5,26
Predator 2,Stephen Hopkins,Lawrence Gordon,20th Century Fox,Peter Levy,Danny Glover,Gary Busey,Ruben Blades,Maria Conchita Alonso,Bill Paxton,Action,1990,,28317513.0,29500000.0,35000000.0,Foreign-born,Latin America,Jamaica,Male,Caucasian,26450905.0,1,1990,6,20,6,6,2
Presumed Innocent,Alan J Pakula,Sydney Pollack,,Gordon Willis,Harrison Ford,Brian Dennehy,Raul Julia,Bonnie Bedelia,Paul Winfield,Drama,1990,,85687266.0,23500000.0,,Native-born,North America (US),US,,,134996812.0,1,1990,5,6,10,18,2
Pretty Woman,Garry Marshall,Arnon Milchan,Walt Disney,Charles Minsky,Richard Gere,Julia Roberts,Ralph Bellamy,Jason Alexander,Laura San Giacomo,Comedy,1990,,178396916.0,20000000.0,14000000.0,Native-born,North America (US),US,Male,Caucasian,254180605.0,1,1990,0,17,14,18,20
Problem Child,Dennis Dugan,Robert Simonds,Universal,Peter Collister),John Ritter,Jack Warden,Michael Oliver,Gilbert Gottfried,Amy Yasbeck,Comedy,1990,,50317125.0,9000000.0,,Native-born,North America (US),US,,,18800004.0,0,1990,4,11,6,18,2
