Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar,Release_year,cluster_tfidf_first,cluster_tfidf_second,cluster_lda_major_first,cluster_lda_major_second,cluster_lda_major_second_finer
The Waterboy,Frank Coraci,Robert Simonds,Walt Disney,Steven Bernstein,Adam Sandler,Kathy Bates,Henry Winkler,Fairuza Balk,Jerry Reed,Comedy,1998,,161487252.0,26400000.0,23000000.0,Native-born,North America (US),US,Male,Caucasian,28700000.0,1,1998,8,8,9,18,2
The Wedding Singer,Frank Coraci,Robert Simonds,New Line Cinema,Timothy Suhrstedt,Adam Sandler,Drew Barrymore,Christine Taylor,Allen Covert,Matthew Glave,Comedy,1998,,80224502.0,26400000.0,,Native-born,North America (US),US,Male,Caucasian,43100000.0,1,1998,0,17,22,4,2
The X-Files,Rob Bowman,Chris Carter,20th Century Fox,Ward T Russell,David Duchovny,Gillian Anderson,John Neville,William B. Davis,Martin Landau,Action,1998,,83892374.0,66000000.0,,,,,,,,1,1998,16,14,8,0,2
There's Something About Mary,Peter Farrelly,Frank Beddor,20th Century Fox,Mark Irwin),Cameron Diaz,Matt Dillon,Ben Stiller,Lin Shaye,Lee Evans,Comedy,1998,,176483808.0,28050000.0,22000000.0,Native-born,North America (US),US,Male,Caucasian,193400000.0,1,1998,21,5,6,0,29
Twilight,Robert Benton,Arlene Donovan,Paramount Pictures,Piotr Sobocinski,Paul Newman,Susan Sarandon,Gene Hackman,Stockard Channing,Reese Witherspoon,Adaptation,1998,,15030732.0,24200000.0,,Native-born,North America (US),US,,,,1,1998,16,4,10,14,10
Twilight,Robert Benton,Arlene Donovan,Paramount Pictures,Piotr Sobocinski,Paul Newman,Susan Sarandon,Gene Hackman,Stockard Channing,Reese Witherspoon,Adaptation,1998,,15030732.0,24200000.0,,Native-born,North America (US),US,,,,1,2008,1,15,1,18,2
Twilight,Catherine Hardwicke,Mark Morgan,Summit Entertainment,Elliot Davis,,,,,,Romance,2008,4.0,191449475.0,37000000.0,37000000.0,Native-born,North America (US),US,Female,Caucasian,209510305.0,0,1998,16,4,10,14,10
Twilight,Catherine Hardwicke,Mark Morgan,Summit Entertainment,Elliot Davis,,,,,,Romance,2008,4.0,191449475.0,37000000.0,37000000.0,Native-born,North America (US),US,Female,Caucasian,209510305.0,0,2008,1,15,1,18,2
U.S. Marshals,Stuart Baird,Arnold Kopelson,Warner Bros.,Andrzej Bartkowiak,Tommy Lee Jones,Wesley Snipes,Robert Downey Jr.,Joe Pantoliano,Daniel Roebuck,Action,1998,,57823170.0,93500000.0,60000000.0,,,,,,,1,1998,6,20,6,18,2
Urban Legend,Jamie Blanks,Neal H. Moritz,Sony Pictures,James Chressanthis,Jared Leto,Alicia Witt,Rebecca Gayheart,Michael Rosenbaum,Loretta Devine,Horror,1998,,38071499.0,20900000.0,14000000.0,Foreign-born,,Australian,,,34455157.0,1,1998,22,19,16,18,26
Very Bad Things,Peter Berg,Michael Schiffer,Polygram,David Hennings,Christian Slater,Cameron Diaz,Daniel Stern,Jeanne Tripplehorn,Jon Favreau,Comedy,1998,,9910898.0,10000000.0,10000000.0,Native-born,North America (US),US,Male,Caucasian,11145504.0,1,1998,16,4,12,15,2
What Dreams May Come,Vincent Ward,Stephen Simon,Polygram,Eduardo Serra,Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow,Jessica Brooks Grant,Adaptation,1998,,55450488.0,75466000.0,80000000.0,Foreign-born,,New Zealand,,,16000000.0,1,1998,19,3,16,18,2
Whatever It Takes,Brady Makenzie,Damon Rein,,Anrea Rossotto,Andrew Dice Clay,"Don ""The Dragon"" Wilson",Fred Williamson,Leslie Danon,Craig Susser,Action,1998,,,,,,,,,,,0,2000,7,3,11,16,35
Whatever It Takes,David Raynr,Paul Schiff,Sony Pictures,Timothy Suhrstedt,Jodi Lyn O'Keefe,Shane West,Marla Sokoloff,Manu Intiraymi,Aaron Paul,Comedy,2000,1.0,8735529.0,15400000.0,,,,,,,,1,2000,7,3,11,16,35
Whipped,Sasha Waters Freyer,Sasha Waters Freyer,,Iana Porter,Sonja Blaze,Eva Taurel,,,,Documentary,1998,,,,,,,,Female,,,0,2000,7,21,17,18,2
Whipped,Peter Cohen,Peter Cohen,Alliance Films,Peter Kowalski),Amanda Peet,Brian Van Holt,Jon Abrahams,Zorie Barber,Judah Domke,Comedy,2000,3.0,4142507.0,3250000.0,,Foreign-born,,Swedish,,,,1,2000,7,21,17,18,2
Wide Awake,M. Night Shyamalan,Cary Woods,Miramax,Adam Holender,Denis Leary,Rosie O'Donnell,Dana Delany,Robert Loggia,Joseph Cross,Comedy,1998,,258212.0,12500000.0,,Foreign-born,Asia,India,Male,,,0,1998,1,15,18,18,2
Wild Things,John McNaughton,Rodney Liber,Sony Pictures,Jeffrey L Kimball,Kevin Bacon,Matt Dillon,Neve Campbell,Theresa Russell,Denise Richards,Crime,1998,,29753944.0,33000000.0,20000000.0,Native-born,North America (US),US,Male,Caucasian,25781400.0,1,1998,16,20,6,18,2
Woo,Daisy von Scherler Mayer,Beth Hubbard,Alliance Films,Jean Lepine,,,,,,Comedy,1998,,8056641.0,18750000.0,,Native-born,North America (US),US,,,,0,1998,10,17,20,18,20
Wrongfully Accused,Pat Proft,Pat Proft,Warner Bros.,Glen MacPherson,Leslie Nielsen,Kelly LeBrock,Michael York,Richard Crenna,Sandra Bernhard,Action,1998,,9604029.0,24200000.0,,,,,,,,1,1998,19,4,11,18,21
Your Friends & Neighbors,Neil LaBute,Steve Golin,Gramercy Pictures,Nancy Schreiber,Amy Brenneman,Aaron Eckhart,Catherine Keener,Nastassja Kinski,Jason Patric,Adaptation,1998,,4710749.0,5060000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1998,10,0,6,18,16
You've Got Mail,Nora Ephron,Lauren Shuler Donner,Warner Bros.,John Lindley,Tom Hanks,Meg Ryan,Parker Posey,Jean Stapleton,Dave Chappelle,Romantic Comedy,1998,,115731542.0,60000000.0,65000000.0,,,,,,134978505.0,1,1998,10,0,20,18,36
Zero Effect,Jake Kasdan,Lisa Henson,Sony Pictures,Bill Pope,Bill Pullman,Ben Stiller,Ryan O'Neal,Kim Dickens,Angela Featherstone,Comedy,1998,,1980338.0,15000000.0,,Native-born,North America (US),US,Male,Caucasian,,1,1998,15,9,5,3,4
10 Things I Hate About You,Gil Junger,Andrew Lazar,Walt Disney,Mark Irwin),Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Larisa Oleynik,David Krumholtz,Romantic Comedy,1999,,38176108.0,14300000.0,13000000.0,Native-born,North America (US),US,,,22235984.0,1,1999,0,3,13,18,37
200 Cigarettes,Risa Bramon Garcia,Betsy Beers,Paramount Pictures,Frank Prinzi,Ben Affleck,Casey Affleck,Angela Featherstone,Janeane Garofalo,Kate Hudson,Comedy,1999,,6851636.0,14300000.0,,,,,,,,1,1999,10,21,8,15,32
8mm,Joel Schumacher,Gavin Polone,Sony Pictures,Robert Elswit,Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,Anthony Heald,Action,1999,,36283504.0,58300000.0,,Native-born,North America (US),US,,,,1,1999,11,12,16,10,2
A Dog of Flanders,Kevin Brodie,Frank Yablans,Warner Bros.,Walther Vanden Ende,Jon Voight,Jack Warden,Jeremy James Kissner,Jesse James,Cheryl Ladd,Adaptation,1999,,2148212.0,6050000.0,,Native-born,North America (US),US,,,,1,1999,12,16,6,18,2
A Walk on the Moon,Tony Goldwyn,Neil Koenigsberg,Miramax,Anthony B Richmond,Diane Lane,Liev Schreiber,Anna Paquin,Tovah Feldshuh,Viggo Mortensen,Comedy,1999,,4741987.0,21250000.0,,,,,,,,1,1999,15,9,2,18,18
