Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
Hammering It Out,Vivian Price,NA,NA,Vivian Price,NA,NA,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hanging Up,Diane Keaton,Laurence Mark,Sony Pictures,Howard Atherton,Meg Ryan,Lisa Kudrow,Diane Keaton,Walter Matthau,Adam Arkin,Adaptation,2000,1,36037909,52844000,4.00E+07,Native-born,North America (US),US,NA,NA,15829814
Held for Ransom,Lee Stanley,Randall Emmett,NA,Steve Adcock,Dennis Hopper,Jonathan Taylor Thomas,Zachery Ty Bryan,Ken Heskin,Jordan Brower,Action,2001,1,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Held Up,Steve Rash,Neal H. Moritz,Trimark,David Makin,Jamie Foxx,Jake Busey,Nia Long,Barry Corbin,Eduardo Yáñez,Action,2000,2,4692814,8400000,8.00E+06,Native-born,North America (US),US,NA,NA,NA
Hellhounds on My Trail: The Afterlife of Robert Johnson,Robert Mugge,Robert Mugge,NA,Larry McConkey,Bob Weir,Rob Wasserman,Robert Lockwood Jr.,Keb Mo,G-Love & Special Sauce,Documentary,2000,1,3342,NA,NA,Native-born,North America (US),US,NA,NA,NA
Hellraiser 5: Inferno,Scott Derrickson,Keith Border,Dimension Films,Nathan Hope,Craig Sheffer,Nick Turturro,James Remar,Doug Bradley,NA,Horror,2000,NA,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Here on Earth,Mark Piznarski,David Friendly,20th Century Fox,Michael O'Shea,Chris Klein,Leelee Sobieski,Josh Hartnett,Michael Rooker,Annie Corley,Drama,2000,1,10494147,15400000,NA,Native-born,North America (US),US,NA,NA,NA
Hey Vinny,John Huba,NA,NA,Marcus Burnett,Vinny Vella,Margarette Anne Hernandez,NA,NA,NA,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
High Fidelity,Stephen Frears,Tim Bevan,Walt Disney,Seamus McGarvey,John Cusack,Iben Hjejle,Todd Louiso,Jack Black,Lisa Bonet,Comedy,2000,1,27277055,24200000,2.00E+07,Foreign-born,Europe,United Kingdom,Male,Caucasian,20604608
Highball,Noah Baumbach,Joel Castleberg,NA,Steven Bernstein,Eric Stoltz,Annabella Sciorra,Justine Bateman,Ally Sheedy,Noah Baumbach,Comedy,2000,NA,NA,2.00E+05,NA,Native-born,North America (US),US,Male,Caucasian,NA
Highlander: Endgame,Doug Aarniokoski,Peter S Davis,Miramax/Dimension,Douglas Milsome,Adrian Paul,Christopher Lambert,Bruce Payne,Peter Wingfield,Lisa Barbuscia,Action,2000,3,12801190,15400000,1.50E+07,NA,NA,NA,NA,NA,NA
Hollow Man,Paul Verhoeven,Douglas Wick,Sony Pictures,Jost Vacano,Kevin Bacon,Elisabeth Shue,Josh Brolin,Greg Grunberg,Kim Dickens,Action,2000,3,73209340,106700000,9.00E+07,Foreign-born,Europe,Netherlands,Male,Caucasian,117990660
Home Sweet Hoboken,Yoshifumi Hosoya,Yuko Yoshikawa,NA,Jeff Eplett,Ben Gazzara,Elizabeth Ashley,Jayce Bartok,Thomas Jay Ryan,Aida Turturro,Comedy,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homeland,Jilann Spitzmiller,Jilann Spitzmiller,NA,Shana Hagan,Michael Little Boy,Rita Little Boy,Marian White Mouse,Thurman Horse,Doris Eagle,Documentary,2000,NA,NA,NA,NA,NA,NA,NA,Female,NA,NA
