Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo
Chameleon Street,Wendell B Harris Jr.,David Mazor,Creative Exposure,Daniel S Noga,Wendell B Harris Jr.,Angela Leslie,Amina Fakir,Mano Breckenridge,Richard David Kiley Jr.,Biopic,1991,NA,NA,1500000,NA,NA,NA,NA,NA,NA,NA
Charlie's Ear,Gary Chason,Gary Chason,NA,Claudia Raschke,NA,NA,NA,NA,NA,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cheap Shots,Jeff Ureles,William Coppard,Hemdale Releasing Corporation,Thom Marini,Louis Zorich,David Patrick Kelly,Marie Louise Wilson,Michael Twaine,Judson Camp,Comedy,1991,NA,1374,NA,NA,NA,NA,NA,NA,NA,NA
Child's Play 3,Jack Bender,Robert Latham Brown,Universal,John R. Leonetti,Justin Whalin,Perrey Reeves,Jeremy Sylvers,Travis Fine,Dean Jacobson,Horror,1991,NA,13526840,1.40E+07,NA,Native-born,North America (US),US,NA,NA,5600000
China White,Ronny Yu,Jim Choi,NA,Andrew Lau,Billy Drago,Russell Wong,Steven Leigh,Lisa Schrage,Erik de Vogel,Action,1991,NA,NA,NA,NA,Foreign-born,NA,Hong Kong,NA,NA,NA
Chopper Chicks in Zombietown,Dan Hoskins,Maria Snyder,Troma Entertainment,Tom Fraser,Jamie Rose,Catherine Carlin,Kristina Loggia,Martha Quinn,Don Calfa,Action,1991,NA,NA,1700000,NA,NA,NA,NA,NA,NA,NA
City of Hope,John Sayles,Sarah Green,NA,Robert Richardson,NA,NA,NA,NA,NA,Drama,1991,NA,1339620,3300000,NA,NA,NA,NA,NA,NA,NA
City Slickers,Ron Underwood,Irby Smith,Sony Pictures,Dean Semler,Billy Crystal,Daniel Stern,Bruno Kirby,Patricia Wettig,Helen Slater,Adventure,1991,NA,119828215,26500000,NA,Native-born,North America (US),US,NA,NA,NA
Class Action,Michael Apted,Ted Field,20th Century Fox,Conrad L. Hall,Gene Hackman,Mary Elizabeth Mastrantonio,Colin Friels,Joanna Merlin,Laurence Fishburne,Drama,1991,NA,23940341,2.10E+07,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
Class of Nuke 'Em High Part 2: Subhumanoid Meltdown,Eric Louzil,Lloyd Kaufman,Troma Entertainment,Ron Chapman,Brick Bronsky,Leesa Rowland,Michael Kurtz,Scott Resnick,Shelby Shepard,Action,1991,NA,NA,1500000,NA,Native-born,North America (US),US,NA,NA,NA
Closet Land,Radha Bharadwaj,Janet Meyers,Universal,Bill Pope,Madeleine Stowe,Alan Rickman,NA,NA,NA,Drama,1991,NA,225671,2500000,NA,NA,NA,NA,NA,NA,NA
Company Business,Nicholas Meyer,Steven Charles Jaffe,MGM,Gerry Fisher,Gene Hackman,Mikhail Baryshnikov,Kurtwood Smith,Terry O'Quinn,Daniel von Bargen,Action,1991,NA,1443690,1.50E+07,NA,NA,NA,NA,NA,NA,NA
Complex World,James Wolpaw,Rich Lupo,Hemdale Releasing Corporation,Denis Maloney,Stanley Matis,Margot Dionne,Allen Oliver,Daniel von Bargen,Joe Klimek,Comedy,1991,NA,697,5925817,NA,NA,NA,NA,NA,NA,NA
Convicts,Peter Masterson,Jonathan D Krane,Cineplex Odeon Films,Toyomichi Kurita,Robert Duvall,Lukas Haas,Starletta DuPois,James Earl Jones,Carlin Glynn,Adaptation,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Cool As Ice,David Kellogg,Carolyn Pfeiffer,Universal,Janusz Kaminski,Vanilla Ice,Kristin Minter,Michael Gross,Sydney Lassick,Dody Goodman,Drama,1991,NA,956790,5500000,NA,Native-born,North America (US),US,NA,NA,NA
Crackdown,Louis Morneau,Luis Llosa,Concorde Productions,Pili Flores Guerra,Cliff De Young,Robert Beltran,Jamie Rose,Gerald Anthony,Orlando Sacha,Thriller,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Critters 3,Kristine Petersen,Barry Opper,NA,Thomas L Callaway,Annie Brooks,John Calvin,Christian Cousins,Joseph Cousins,Leonardo DiCaprio,Horror,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Critters 4,Rupert Harvey,Barry Opper,NA,Thomas L Callaway,Terrence Mann,Paul Whitthorne,Anders Hove,Angela Bassett,Don Keith Opper,Horror,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crooked Hearts,Michael Bortman,Rick Stevenson,MGM,Tak Fujimoto,Peter Berg,Vincent D'Onofrio,Jennifer Jason Leigh,Noah Wyle,Peter Coyote,Drama,1991,NA,21622,NA,NA,NA,NA,NA,NA,NA,NA
Curly Sue,John Hughes,John Hughes,NA,Jeffrey L Kimball,Jim Belushi,Kelly Lynch,Alisan Porter,John Getz,Fred Thompson,Comedy,1991,NA,29710165,3.00E+07,NA,NA,NA,NA,NA,NA,NA
Dead Again,Kenneth Branagh,Lindsay Doran,Paramount Pictures,Matthew Leonetti,NA,NA,NA,NA,NA,Thriller,1991,NA,35549574,1.50E+07,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
Dead Boyz Can't Fly,Howard Winters,Howard Winters,NA,Feliks Parnell,Brad Friedman,David John,Sheila Kennedy,Ruth Collins,Jason Stein,Action,1991,NA,NA,1600000,NA,NA,NA,NA,NA,NA,NA
Dead Certain,Anders Palm,Anders Palm,NA,John de Borman,Francesco Quinn,Brad Dourif,Joel Kaiser,Karen Russell,Jonathan Grinner,Crime,1992,NA,NA,1.50E+08,NA,NA,NA,NA,NA,NA,NA
Dead Men Don't Die,Malcolm Marmorstein,Wayne Marmorstein,JGM Enterprises,Tom Fraser,Elliott Gould,Mark Moses,Mabel King,Jack Betts,Andee Gray,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",Debra Chasnoff,Debra Chasnoff,Tara Releasing,Fawn Yacker,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Deadly Diamonds,Thomas Atcheson,Raj Mehrotra,NA,Howard Wexler,Dan Haggerty,Troy Donahue,Eli Rich,Kathleen Kane-MacGowan,Kenna Grob,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deadly Rivals,James Dodson,James Dodson,NA,James Dodson,Andrew Stevens,Margaux Hemingway,Francesco Quinn,Randi Ingerman,Cela Wise,Thriller,1992,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
DeadSpace,Fred Gallo,Mike Elliott,NA,Mark Perry,Marc Singer),Laura Tate,Judith Chapman,Bryan Cranston,Randy Reinholz,Sci-Fi,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deceived,Damian Harris,Michael Finnell,Walt Disney,Jack N Green,Goldie Hawn,John Heard,Damon Redfern,Charles Kassatly,Tom Irwin,Drama,1991,NA,28712056,19400000,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
December,Gabe Torres,Donald Paul Pemrick,IRS Releasing,Jim Glennon,Balthazar Getty,Jason London,Brian Krause,Wil Wheaton,Chris Young,Thriller,1991,NA,4529,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Deep Blues,Robert Mugge,Eileen Gregory,Tara Releasing,Erich Roland,Jessie Mae's Fife and Drum Band,NA,NA,NA,NA,Documentary,1991,NA,NA,3.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Defending Your Life,Albert Brooks,Michael Grillo,Warner Bros.,Allen Daviau,Albert Brooks,Meryl Streep,Rip Torn,Lee Grant,Buck Henry,Comedy,1991,NA,16156857,1.80E+07,NA,NA,NA,NA,NA,NA,NA
Defenseless,Martin Campbell,Renee Missel,Seven Arts Entertainment,NA,Barbara Hershey,Sam Shepard,Mary Beth Hurt,J.T. Walsh,Kellie Overbey,Mystery,1991,NA,6411877,7.00E+06,NA,Foreign-born,Oceania,New Zealand,Male,Caucasian,NA
Delirious,Tom Mankiewicz,Lawrence J Cohen,MGM,Robert M Stevens,John Candy,Emma Samms,Mariel Hemingway,Raymond Burr,Dylan Baker,Comedy,1991,NA,4721931,16700000,NA,NA,NA,NA,NA,NA,NA
Delusion,Carl-Jan Colpaert,Dan Hassid,IRS Releasing,Geza Sinkovics,Jim Metzler,Jennifer Rubin,Kyle Secor,Jerry Orbach,Robert Costanzo,Comedy,1991,NA,NA,3.00E+06,NA,Foreign-born,NA,NA,NA,NA,NA
Denial,Erin Dignam,Loretha Jones,NA,Reynaldo Villalobos,Robin Wright,Rae Dawn Chong),Jason Patric,Barry Primus,Christine Harnos,Drama,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desperate,Rico Martinez,Rico Martinez,NA,Frank Grow,Kimberly Ghee,Elvis Christ,NA,NA,NA,Drama,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Destination Danang,Mickey Grant,Mickey Grant,NA,NA,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dice Rules,Jay Dubin,Fred Silverstein,Seven Arts Entertainment,Michael Negrin,Eddie Griffin,Sylvia Harman,Lee Lawrence,"""Noodles"" Levenstein",Maria Parkinson,Comedy,1991,NA,650000,5.00E+06,NA,NA,NA,NA,NA,NA,NA
Do or Die,Andy Sidaris,Arlene Sidaris,Malibu Bay Films,Mark Morris,Pat Morita,Erik Estrada,Dona Speir,Roberta Vasquez,Bruce Penhall,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Doc Hollywood,Michael Caton-Jones,Susan Solt,NA,Michael Chapman,Michael J. Fox,Julie Warner,Barnard Hughes,Woody Harrelson,David Ogden Stiers,Comedy,1991,NA,51784928,2.00E+07,NA,Foreign-born,Europe,United Kingdom,Male,Caucasian,NA
Doctor Mordrid,Charles Band,Charles Band,NA,Adolfo Bartoli,Jeffrey Combs,Brian Thompson,Yvette Nipar,Jay Acovone,Keith Coulouris,Fantasy,1992,NA,NA,2.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Dogfight,Nancy Savoca,Peter Newman,Warner Bros.,Bobby Bukowski,River Phoenix,Lili Taylor,Richard Panebianco,Anthony Clark,Mitchell Whitfield),Comedy,1991,NA,18736,7500000,NA,NA,NA,NA,NA,NA,NA
Dogs Bark Blue,Claudia Hoover,Joanne Watkins,NA,Stephen Sheridan,Chris Cote,Deborah Benson,Bridget Hoffman,Gregory Paul Jackson,Ron Colby,Drama,1991,NA,NA,50000,NA,NA,NA,NA,NA,NA,NA
Dollman,Albert Pyun,Cathy Gesualdo,NA,George Mooradian,Tim Thomerson,Kamala Lopez-Dawson,Jackie Earle Haley,Humberto Ortiz,Nicholas Guest,Fantasy,1991,NA,NA,3.00E+06,NA,NA,NA,NA,NA,NA,NA
Dolly Dearest,Maria A Lease,Daniel Cady,Trimark Entertainment,Eric D Anderson,Denise Crosby,Rip Torn,Sam Bottoms,Chris Demetral,Lupe Ontiveros,Horror,1992,NA,NA,2.00E+06,NA,NA,NA,NA,NA,NA,NA
Don't Tell Mom the Babysitter's Dead,Stephen Herek,Robert Newmyer,Warner Bros.,Timothy Suhrstedt,Christina Applegate,Joanna Cassidy,John Getz,Josh Charles,Keith Coogan,Comedy,1991,NA,23015078,1.40E+07,NA,Native-born,North America (US),US,Male,Caucasian,NA
Double Impact,Sheldon Lettich,Ashok Amritraj,Sony Pictures,Richard H. Kline,Jean-Claude van Damme,Sarah Jane Varley,Wu Fong Lung,Alicia M Stevenson,Paul Aylett,Action,1991,NA,28572738,1.50E+07,1.60E+07,Native-born,North America (US),US,NA,NA,NA
Driving Me Crazy,Jon Turteltaub,Brad Krevoy,Motion Picture Corporation of America,Phedon Papamichael,Thomas Gottschalk,Billy Dee Williams,Michelle Johnson,Dom DeLuise,James Tolkan,Action,1991,NA,NA,NA,NA,Native-born,North America (US),US,Male,Caucasian,NA
Dune Warriors,Cirio Santiago,Cirio Santiago,Concorde Productions,Joe Batac,David Carradine,Luke Askew,Jillian McWhirter,Blake Boyd,Val Gary,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dutch,Peter Faiman,John Hughes,20th Century Fox,Charles Minsky,Ed O'Neill,Ethan Embry,JoBeth Williams,Ari Meyers,Christopher McDonald,Comedy,1991,NA,4233008,1.80E+07,NA,Foreign-born,NA,Australian,NA,NA,NA
Dying Young,Joel Schumacher,Sally Field,20th Century Fox,Juan Ruiz-Anchia,Julia Roberts,Campbell Scott,Vincent D'Onofrio,Colleen Dewhurst,David Selby,Drama,1991,NA,32280097,2.20E+07,NA,Native-born,North America (US),US,NA,NA,48595295
Edge of Honor,Michael Spence,David O'Malley,NA,Billy Dickson,Corey Feldman,Meredith Salenger,Scott Reeves,Don Swayze,Ken Jenkins,Adventure,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emil & Fifi,Brett J Love,Brett J Love,NA,Michael Siegel,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enemy Unseen,Elmo DeWitt,NA,NA,NA,Stack Pierce,Ken Gampu,Angela Meagan O'Neill,Sam Ntsinyi,Greg Latter,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ernest Scared Stupid,John R Cherry III,Stacy Williams,Walt Disney,Hanania Baer,Jim Varney,Eartha Kitt,John Cadenhead,Bill Byrge,Austin Nagler,Comedy,1991,NA,14132671,6.00E+06,NA,NA,NA,NA,NA,NA,NA
Eve of Destruction,Duncan Gibbins,David Madden,Orion Pictures,Alan Hume,Gregory Hines,Renee Soutendijk,Michael Greene,Kurt Fuller,John M Jackson,Sci-Fi,1991,NA,4390806,1.50E+07,NA,NA,NA,NA,NA,NA,NA
Fast Food Matador,Vincent Cafarelli,Vincent Cafarelli,Expanded Entertainment,NA,NA,NA,NA,NA,NA,Animated,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fatal Inheritance,Gabrielle Beaumont,Paul Heller,NA,Michael Davis,Emma Samms,Corbin Bernsen,Kevin Davis,David McCallum,NA,Thriller,1991,NA,NA,4.00E+06,NA,NA,NA,NA,NA,NA,NA
Father of the Bride,Charles Shyer,Zvi Howard Rosenman,Walt Disney,John Lindley,Steve Martin,Diane Keaton,Kimberly Williams-Paisley,Kieran Culkin,George Newbern,Comedy,1991,NA,89136977,2.20E+07,NA,Native-born,North America (US),US,NA,NA,NA
Feelin' Screwy,Riffat A Khan,Riffat A Khan,NA,Nelson Hernandez,NA,NA,NA,NA,NA,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Femme Fatale,Andre Guttfreund,Andrew Lane,NA,Joey Forsyte,Colin Firth,Lisa Zane,Billy Zane,Lisa Blount,Scott Wilson,Mystery,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Field of Fire,Cirio Santiago,Roger Corman,NA,Joe Batac,David Carradine,Eb Lottimer,David Anthony Smith,Scott Utley,Jim Moss,Action,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Final Approach,Eric Steven Stahl,Eric Steven Stahl,Trimark Pictures,Eric J. Goldstein,James B Sikking,Hector Elizondo,Madolyn Smith,Kevin McCarthy,Cameo Kneuer,Sci-Fi,1991,NA,52644,12800000,NA,Native-born,North America (US),US,NA,NA,NA
Final Embrace,Oley Sassone,Roger Corman,NA,Rick Bota,Robert Russler,Dick Van Patten,Nancy Valen,Linda Dona,Gloria Le Roy,Thriller,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Finding Christa,Camille Billops,Camille Billops,Third World Newsreel,Dion Hatch,NA,NA,NA,NA,NA,Documentary,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Firehead,Peter Yuval,Peter Yuval,Pyramid Releasing Corporation,Paul Maibaum),Christopher Plummer,Chris Lemmon,Martin Landau,Gretchen Becker,Brett Porter,Adventure,1991,NA,71057,3500000,NA,NA,NA,NA,NA,NA,NA
Fires Within,Gillian Armstrong,Wallis Nicita,MGM,David Gribble,Greta Scacchi,Jimmy Smits,Vincent D'Onofrio,Kevin A Duffis,Talya Ferro,Drama,1991,NA,67299,1.40E+07,NA,Foreign-born,Oceania,Australia,Female,Caucasian,NA
Flight of the Intruder,John Milius,Mace Neufeld,Paramount Pictures,Fred J. Koenekamp,Danny Glover,Willem Dafoe,Brad Johnson,Rosanna Arquette,Tom Sizemore,Action,1991,NA,13445066,3.50E+07,3.50E+07,Native-born,North America (US),US,NA,NA,NA
For the Boys,Mark Rydell,Bette Midler,20th Century Fox,Stephen Goldblatt,Bette Midler,James Caan,George Segal,Patrick O'Neal,Christopher Rydell,Biopic,1991,NA,17664229,42500000,NA,Native-born,North America (US),US,NA,NA,NA
Forever Activists,Judith Montell,Judith Montell,Tara Releasing,T Robin Hirsh,Maury Colow,Ruth Davidow,Sam Gonshak,Steven Nelson,Hilda Roberts,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Forgotten Heroes,Jack Marino,Jack Marino,NA,Peter Wolf,Mark Archuleta,Denis DeBoisblanc,David Campbell,Johnnie Johnson,Bobby Johnston,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Frame Up,Paul Leder,Paul Leder,NA,Francis Grumman,Joseph G Medalis,Wings Hauser,Robert Picardo,Frances Fisher,Dick Sargent,Action,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Frame-Up II: The Cover-Up,Paul Leder,Paul Leder,NA,Kent Wakeford,John Saxon,Wings Hauser,Frances Fisher,Margaux Hemingway,Patti D'Arbanville,Action,1992,NA,NA,2.00E+06,NA,Native-born,North America (US),US,NA,NA,NA
Frankie and Johnny,Garry Marshall,Garry Marshall,Paramount Pictures,Dante Spinotti,Al Pacino,Michelle Pfeiffer,Hector Elizondo,Nathan Lane,Kate Nelligan,Adaptation,1991,NA,21521625,2.50E+07,NA,Native-born,North America (US),US,Male,Caucasian,NA
Freddy's Dead: The Final Nightmare,Rachel Talalay,Robert Shaye,New Line Cinema,Declan Quinn,Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane,Ricky Dean Logan,Comedy,1991,NA,34015591,9300000,NA,Native-born,North America (US),US,NA,NA,NA
Fried Green Tomatoes,Jon Avnet,Jon Avnet,Universal,Geoffrey Simpson,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker,Nick Searcy,Comedy,1991,NA,81192860,1.30E+07,1.10E+07,NA,NA,NA,NA,NA,NA
Futurekick,Damian Klaus,NA,Concorde Productions,Ken Arlidge,"Don ""The Dragon"" Wilson",Meg Foster,Christopher Penn,Eb Lottimer,Ryan MacDonald,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FX2 - The Deadly Art of Illusion,Richard Franklin,Dodi Fayed,Orion Pictures,Victor J Kemper,Bryan Brown,Brian Dennehy,Rachel Ticotin,Joanna Gleason,Philip Bosco,Action,1991,NA,21047744,16500000,NA,NA,NA,NA,NA,NA,NA
Garlic Is as Good as Ten Mothers,Les Blank,Les Blank,NA,NA,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,Native-born,North America (US),US,Male,NA,NA
Ghoulies III: Ghoulies Go to College,John Buechler,Iain Paterson,Taurus Entertainment Company,Rohn Schmidt),Kevin McCarthy,Evan MacKenzie,Patrick Labyorteaux,Marcia Wallace,Griffin O'Neal,Comedy,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Goin' to Chicago,Paul Leder,Paul Leder,NA,Francis Grumman,Clevon Little,Viveca Lindfors,Gary Kroeger,Eileen Seely,Guy Killum,NA,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Grand Canyon,Lawrence Kasdan,Lawrence Kasdan,20th Century Fox,Owen Roizman,Danny Glover,Kevin Kline,Steve Martin,Mary McDonnell,Mary-Louise Parker,Drama,1991,NA,32301451,2.50E+07,NA,Native-born,North America (US),US,NA,NA,7748309
Grandpa,Alan Ruffier,Alan Ruffier,NA,Michael J Walker,Arthur Kennedy,Lee Maddox,Nicole Eggert,Mark Holton,Dixie King-Wade,Drama,1992,NA,NA,350000,NA,NA,NA,NA,NA,NA,NA
Guilty By Suspicion,Irwin Winkler,Arnon Milchan,Warner Bros.,Michael Ballhaus,Robert De Niro,Annette Bening,George Wendt,Patricia Wettig,Sam Wanamaker,Drama,1991,NA,8424551,1400000,NA,Native-born,North America (US),US,NA,NA,NA
H Nichta Tis Mystikis Synantisis,Takis Antonopoulos,NA,NA,Andreas Sinanos,Kleon Grigoriadis,Reni Pittaki,Christophorous Panoutsos,Johnny Theodoridis,Takis Margaritis,Drama,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H-2 Worker,Stephanie Black,Stephanie Black,First Run Features,Maryse Alberti,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hangfire,Peter Maris,Brad Krevoy,Motion Picture Corporation of America,Mark Morris,Brad Davis,Kim Delaney,Ken Foree,Lee DeBroux,Jan-Michael Vincent,Action,1991,NA,NA,3250000,NA,Native-born,North America (US),US,NA,NA,NA
Hangin' With the Homeboys,Joseph B Vasquez,Richard Brick,New Line Cinema,Anghel Decca,Doug E Doug,Mario Joyner,John Leguizamo,Nestor Serrano,Kimberly Russell,Comedy,1991,NA,516855,1900000,NA,NA,NA,NA,NA,NA,NA
Harley Davidson and the Marlboro Man,Simon Wincer,Jere Henshaw,MGM,David Eggby,Mickey Rourke,Don Johnson,Chelsea Field,Daniel Baldwin,Giancarlo Esposito,Action,1991,NA,6972669,1.90E+07,2.30E+07,Foreign-born,NA,Australian ,NA,NA,NA
"He Said, She Said",Marisa Silver,Frank Mancuso Jr.,Paramount Pictures,Stephen H Burum,Elizabeth Perkins,Kevin Bacon,Sharon Stone,Nathan Lane,Anthony LaPaglia,Comedy,1991,NA,8730505,1.40E+07,NA,NA,NA,NA,NA,NA,NA
Hearing Voices,Sharon Greytak,Sharon Greytak,Phoenix Entertainment Group,Doron Schlair,Erika Nagy,Stephen Gatta,Tim Ahern,Michael Davenport,NA,Drama,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heart of Tibet,David Cherniak,Martin Wassell,NA,Baird Bryant,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hearts of Darkness: A Filmmaker's Apocalypse,Fax Bahr,Michael Doqui,NA,NA,Francis Ford Coppola,Eleanor Coppola,Martin Sheen,Robert Duvall,Dennis Hopper,Documentary,1991,NA,NA,2.00E+06,NA,NA,NA,NA,NA,NA,NA
High Strung,Roger Nygard,Rubin Mendoza,NA,Alan Oltman,Steve Oedekerk,Tom Wilson,Denise Crosby,Fred Willard,Toni Sawyer,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Highlander II: the Quickening,Russell Mulcahy,Ziad El Khoury,InterStar Releasing,NA,Christopher Lambert,Sean Connery,Virginia Madsen,Michael Ironside,John C. McGinley,Action,1991,NA,13734970,2.60E+07,NA,Foreign-born,Oceania,Australia,Male,Caucasian,NA
Home Movie,Fred Frame,Maureen MacDonald,NA,John Bartley,Ian Tracey,John Pyper Ferguson,Suki Kaiser,Venus Terzo,Kerry Sandomirsky,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homes Apart: Korea,J T Orinne Takagi,NA,Third World Newsreel,NA,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Homicide,David Mamet,Michael Hausman,Triumph Releasing,Roger Deakins,Joe Mantegna,William H. Macy,Natalija Nogulich,Ving Rhames,Rebecca Pidgeon,Action,1991,NA,1923248,1.10E+07,NA,NA,NA,NA,NA,NA,NA
Hook,Steven Spielberg,Kathleen Kennedy,TriStar Pictures,Dean Cundey,Dustin Hoffman,Robin Williams,Julia Roberts,Bob Hoskins,Maggie Smith,Adventure,1991,NA,116347538,8.00E+07,7.00E+07,Native-born,North America (US),US,Male,Caucasian,181200000
Horseplayer,Kurt Voss,Larry Rattner,Strand Releasing,Dean Lent,Brad Dourif,Sammi Davis,M K Harris,Vic Tayback,Max Perlich,Drama,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Hot Shots!,Jim Abrahams,Bill Badalato,20th Century Fox,Bill Butler,Charlie Sheen,Cary Elwes,Valeria Golino,Lloyd Bridges,Kevin Dunn,Action,1991,NA,68251753,24600000,NA,NA,NA,NA,NA,NA,1.08E+08
House IV,Lewis Abernathy,Sean Cunningham,NA,Jim Mathers,Terri Treas,William Katt,Scott Burkholder,Melissa Clayton,Denny Dillon,Horror,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
House Party 2,George Jackson,George Jackson,Alliance Films,Francis Kenny,"Christopher ""Kid"" Reid",Christopher Martin,Queen Latifah,Iman,Eugene Allen,Comedy,1991,NA,19421634,4500000,5.00E+06,Native-born,North America (US),US,NA,NA,NA
Howling VI - The Freaks,Hope Perello,Robert Pringle,NA,Edward J Pei,Brendan Hughes,Sean Sullivan,Carol Lynley,Michele Matheson,Antonio Fargas,Adaptation,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hudson Hawk,Michael Lehmann,Joel Silver,TriStar Pictures,Dante Spinotti,Bruce Willis,Danny Aiello,Andie MacDowell,Richard E. Grant,Sandra Bernhard,Action,1991,NA,16355667,5.40E+07,6.50E+07,Native-born,North America (US),US,NA,NA,NA
I Am Your Sister,Jennifer Abod,NA,Third World Newsreel,NA,NA,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
If Looks Could Kill,William Dear,Craig Zadan,Warner Bros.,Douglas Milsome,Richard Grieco,Linda Hunt,Roger Rees,Robin Bartlett,Gabrielle Anwar,Action,1991,NA,6256122,9.00E+06,NA,Foreign-born,NA,NA,NA,NA,NA
Illusions,Victor Kulle,Steven Paul,NA,George Hosek,Robert Carradine,Heather Locklear,Emma Samms,Ned Beatty,Susannah York,Adaptation,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immortal Sins,Herve Hachuel,Roger Corman,NA,Alfredo Mayo,Maryam d'Abo,Cliff De Young,Shari Shattuck,Tony Isbert,Paloma Lorena,Horror,1992,NA,NA,3.00E+06,NA,NA,NA,NA,NA,NA,NA
In the Shadow of the Stars,Irving Saraf,Irving Saraf,First Run Features,Michael Chin,San Francisco Opera,NA,NA,NA,NA,Documentary,1991,NA,NA,NA,NA,Native-born,North America (US),US,NA,NA,NA
Infinity,Alexander Gelman,A J Brato,Alternative Distribution System,Eric J. Goldstein,Megan Blake,Moises Bertran,Patricia Place,Newell Tarrant,Fred E Baker,Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Inside Edge,Warren Clark,William Tannen,NA,Eric Van Haren Noman,Michael Madsen,Richard Lynch,Rosie Vela,George Jenesky,Branscombe Richmond),Action,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Intent to Kill,Charles Kanganis,Richard Pepin,NA,Ken Blakey,Traci Lords,Yaphet Kotto,Scott Patterson,Angelo Tiffe,Kevin Benton,Action,1992,NA,NA,1300000,NA,NA,NA,NA,NA,NA,NA
Invasion of the Space Preachers,Daniel Boyd,Lloyd Kaufman,Troma Entertainment,Bill Hogan,Jim Wolfe,Guy Nelson,Eliska Hahn,Gary Brown,Jesse Johnson,Comedy,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
