Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Foxy Brown,Jack Hill,Buzz Feitshans,,Brick Marquard,Pam Grier,Antonio Fargas,Peter Brown,Terry Carter,Kathryn Loder,Action,1995,,,,,,,,,,,1
9 1/2 Ninjas,Aaron Barsky,John Morrissey,Republic Pictures Productions,Fernando Arguelles,Michael Phenicie,Andee Gray,Robert Fieldsteel,Magda Harout,"Tommy ""Tiny"" Lister Jr.",Action,1990,,,1500000.0,,,,,,,,0
Alligator II: The Mutation,Jon Hess,Brandon Chase,,Joseph Mangine,Joseph Bologna,Dee Wallace Stone,Woody Brown,Holly Gagnier,Richard Lynch,Horror,1990,,,6000000.0,,Native-born,North America (US),US,,,,0
Back to Back,John Kincade,Brad Krevoy,Concorde Productions,James L Carter,Bill Paxton,Todd Field,Apollonia Kotero,Ben Johnson,Luke Askew,Drama,1990,,,,,,,,,,,1
Behind the Mask,Warren Chaney,Warren Chaney,,,Deborah Winters,John Swayze,Roy Alan Wilson,Kevin Hickman,Steve Ward,Action,1990,,,,,,,,,,,0
Beyond the Door III,Jeff Kwitny,,,Adolfo Bartoli,Mary Kohnert,Bo Svenson,Victoria Zinny,Savina Geršak,Sarah Ciminera Conway,Horror,1990,,,,,,,,,,,0
Blades,Thomas R Rondinella,John P Finegan,Troma Entertainment,Jim Hayman,Robert North,Jeremy Whelan,Victoria Scott,Holly Stevenson,William Towner,Horror,1990,,,,,,,,,,,0
Bullseye!,Michael Winner,Michael Winner,Sony Pictures,David Wynn-Jones,Michael Caine,Roger Moore,Sally Kirkland,Deborah Barrymore,Lee Patterson,Comedy,1990,,,15000000.0,,,,,,,,1
Caged Fury,Bill Milling,Bill Milling,21st Century Film Corporation,Kenneth Witrak,Erik Estrada,Richie Barathy,Roxanna Michaels,Paul L Smith,James Hong,Action,1990,,,3000000.0,,,,,,,,0
Cat Chaser,Abel Ferrara,Peter S Davis,Vestron Pictures,Anthony B Richmond,Peter Weller,Kelly McGillis,Charles Durning,Frederic Forrest,Tomas Milian,Romance,1990,,,8000000.0,,Native-born,North America (US),US,Male,Caucasian,,0
Crash and Burn,Charles Band,David DeCoteau,,Mac Ahlberg,Ralph Waite,Paul E Ganus,Megan Ward,Bill Moseley,Jack McGee,Sci-Fi,1990,,,2500000.0,,Native-born,North America (US),US,,,,0
Curse III: Blood Sacrifice,Sean Barton,Christopher Coy,,Phillip Grosvenor,Christopher Lee,Jenilee Harrison,Henry Cele,Andre Jacobs,Zoe Randall,Horror,1990,,,,,,,,,,,1
Death Spa,Michael Fischa,Jamie Beardsley,,Arledge Armenaki,William Bumiller,Brenda Bakke,Merritt Butrick,Robert Lipton,Rosalind Cash,Horror,1990,,,,,,,,,,,0
Eternity,Steven Paul,Steven Paul,Triax Entertainment Group,John Lambert,Jon Voight,Armand Assante,Eileen Davidson,Wilford Brimley,Kaye Ballard,Drama,1990,,,10000000.0,,,,,,,,1
Exiled in America,Paul Leder,Ralph Tornberg,,Francis Grumman,Edward Laurence Albert,Wings Hauser,Kamala Lopez-Dawson,Stella Stevens,Maxwell Caulfield,Action,1990,,,,,Native-born,North America (US),US,,,,0
Fatal Mission,George Rowe,Chosei Funahara,,Phil Parmet,Peter Fonda,Tia Carrere,Mako,Ted Markland,Felind Obach,Action,1990,,,,,,,,,,,1
Hard to Die,Jim Wynorski,Jim Wynorski,,Jurgen Baum,Robyn Harris,Melissa Moore,Lindsay Taylor,Debra Dare,Bridget Carney,Action,1990,,,,,Native-born,North America (US),US,Male,Caucasian,,0
Identity Crisis,Melvin Van Peebles,Melvin Van Peebles,,Jim Hinton,Mario Van Peebles,Ilan Mitchell-Smith,Shelley Burch,Richard Fancy,Nicholas Kepros,Action,1990,,,,,Native-born,North America (US),US,,,,0
Iron Thunder,Anthony Elmore,Anthony Elmore,,Larry Ray Dunn,Anthony Elmore,George M Young,Julius Dorsey,Tommie Lee Ray,Traci Cloyd,Drama,1990,,,,,,,,,,,0
Jezebel's Kiss,Harvey Keith,Eric F Scheffer,,Brian J Reynolds,Katherine Barrese,Meredith Baxter,Meg Foster,Brent Fraser,Malcolm McDowell,Drama,1990,,,,,,,,,,,1
Jobman,Darrell James Roodt,Christopher Coy,,Paul White,Kevin Smith,Tertius Meintjes,Lynn Gaines,Marcel Van Heerden,Goliath Davids,Drama,1990,,,,,Foreign-born,Africa,South Africa,Male,Black or African American,,0
Last Call,Jag Mundhra,Victor Bhalla,,James Mathers,William Katt,Shannon Tweed,Joseph Campanella,Matt Roe,Stella Stevens,Thriller,1990,,,,,,,,,,,0
Liberty & Bash,Myrl A Schreibman,Douglas Forsmith,,Tom DeNove,Miles O'Keeffe,Lou Ferrigno,Mitzi Kapture,Lynnette Mettey,Charles Dierkop,Action,1990,,,,,,,,,,,0
Love Hurts,Bud Yorkin,Bud Yorkin,,Adam Greenberg,Jeff Daniels,Cynthia Sykes,Judith Ivey,John Mahoney,Cloris Leachman,Comedy,1990,,,,,,,,,,,1
Martial Law,S E Cohen,Kurt Anderson,Heron Communications,John Huneck,Chad McQueen,Cynthia Rothrock,David Carradine,Andy McCutcheon,Philip Tan,Action,1990,,,2000000.0,,,,,,,,0
Masters of Menace,Daniel Raskov,Lisa M. Hansen,New Line Cinema,Edward J Pei,David Rasche,Catherine Bach,Lance Kinsey,Teri Copley,Ray Baker,Adventure,1990,,,2000000.0,,,,,,,,0
Mom,Patrick Rand,Leon Dudevoir,,David H Sperling,Stella Stevens,Mark Thomas Miller,Jeanne Bates,Brion James,Mary McDonough,Comedy,1990,,,2000000.0,,,,,,,,0
Mortal Sins,Yuri Sivo,Allen Blumberg,Panorama Entertainment,Bobby Bukowski,Brian Benben,Debrah Farentino,Anthony LaPaglia,James Harper,Brick Hartney,Crime,1990,,,900000.0,,,,,,,,0
Murder By Numbers,Paul Leder,Ralph Tornberg,,Francis Grumman,Sam Behrens,Shari Belafonte,Ronee Blakley,Stanley Kamel,Jayne Meadows,Crime,1990,,,,,Native-born,North America (US),US,,,,0
Nerds of a Feather,Gary Graver,Romeo M,International Investment Holdings,Richmond Aguilar,Mario R Milano,Kathleen Kichta,Pat McCormick,Anya Karin,Charles Pierce,Action,1990,,,,,Native-born,North America (US),US,,,,0
Night Eyes,Jag Mundhra,Ashok Amritraj,,James Mathers,Andrew Stevens,Tanya Roberts,Cooper Huckabee,Warwick Sims,Karen Baldwin,Thriller,1990,,,,,,,,,,,0
Ninja Academy,Nico Mastorakis,Jonathan D Gift,,Steven Shaw,Will Egan,Kelly Randall,Gerald Okomura,,,Comedy,1990,,,,,Foreign-born,,Greek,,,,0
On the Block,Steve Yeager,Steve Yeager,Trimark Pictures,Erich Roland,Howard E Rollins Jr.,Marilyn Jones,Jerry B Whiddon,Michael Gabel,Erika Bogren,Drama,1990,,,750000.0,,Native-born,North America (US),US,,,,0
Perfume of the Cyclone,David Irving,Edgar Bold,,James Robb,Kris Kristofferson,Runeke,Kimb Stark,Marisa Berenson),Tony Fredjohn,Drama,1990,,,,,Native-born,North America (US),US,,,,0
Play Murder For Me,Hector Olivera,Roger Corman,Concorde Productions,,Jack Wagner,Tracy Scoggins,William Burns,Rodolfo Ranni,Gerardo Romano,Thriller,1990,,,,,,,,,,,0
Repo Jake,Joseph Merhi,Richard Pepin,,Richard Pepin,Dan Haggerty,Dana Bently,Paul Hayes,Walter Cox,Steve Wilcox,Action,1990,,,,,,,,,,,0
Satan's Princess,Bert I Gordon,Bert I Gordon,,Tom DeNove,Robert Forster,Lydie Denier,Caren Kaye,M K Harris,Ellen Geer,Horror,1990,,,,,,,,,,,1
Schweitzer,Gray Hofmeyr,Ashok Amritraj,Concorde Productions,Buster Reynolds,Malcolm McDowell,Susan Strasberg,Andrew Davis,Helen Jessop,John Carson,Biopic,1990,,,,,Foreign-born,,South African,Male,,,1
Shadowzone,J.S. Cardone,Carol Kottenbrook,JGM Entertprises,Karen Grossman,Louise Fletcher,Miguel A Nunez Jr.,David Beecroft,Lu Leonard,James Hong,Horror,1990,,,2000000.0,,Native-born,North America (US),US,,,,1
Shock 'Em Dead,Mark Freed,Eric Louzil,,Ron Chapman,Traci Lords,Troy Donahue,Stephen Quadros,Aldo Ray,Tim Moffet,Horror,1990,,,,,,,,,,,0
Tattoo Chase,Jeff Gold,Chris Davies,Triax Entertainment Group,Paul Witte,F Richards Ford,Michael Gregory,Jonathan Pienaar,,,Adventure,1990,,,,,,,,,,,0
The American Angels: Baptism of Blood,Ferd Sebastian,Ferd Sebastian,,Ferd Sebastian,Jan Mackenzie,Tray Loren,Mimi Lesseos,Trudy Adams,Patricia Cavoti,Action,1990,,,,,,,,,,,0
Time Barbarians,Joseph J. Barmettler,Philip J Jones,,,Deron McBee,Ayres Ayres,Daniel Martine,Michael Ferrare,,Adventure,1990,,,,,,,,,,,0
Tripwire,James Lemmo,Lisa M. Hansen,New Line Cinema,Igor Sunara,Terence Knox,Meg Foster,David Warner,Yaphet Kotto,Isabella Hofmann,Action,1990,,,2500000.0,,,,,,,,0
Troll 2,Claudio Fragasso,,,Federiko Slonisko,Michael Stephenson,Connie McFarland,George Hardy,Margo Prey,Robert Ormsby,Horror,1990,,,,,,,,,,,0
Vice Academy Part 2,Rick Sloane,Rick Sloane,,Thomas L Callaway,Linnea Quigley,Ginger Lynn Allen,Scott Layne,Jayne Hamil,Jay Richardson,Action,1990,,,,,,,,,,,0
Virgin High,Richard Gabai,Richard Gabai,21st Century Film Corporation,Howard Wexler,Burt Ward,Linnea Quigley,Tracy Dali,Richard Gabai,Kent Burden,Comedy,1990,,,,,,,,Male,Caucasian,,0
Voodoo Dawn,Steven Fierberg,Steven Mackler,,James McCalmont,Raymond St Jacques,Theresa Merrit,Tony Todd,John A Russo,Gina Gershon,Horror,1990,,,1200000.0,,,,,,,,0
Welcome to Spring Break,Umberto Lenzi,William J. Immerman,,Alberto Climati,Nicholas DeToth,Sarah Buxton,Rawley Valverde,Lance LeGault,Michael Parks,Comedy,1990,,,,,Foreign-born,,Italian ,,,,0
Witchcraft II: The Temptress,Mark Woods,James R Hanson,,Jens Sturup,Charles Solomon,Delia Sheppard,David L Homb,Mia Ruiz,Jay Richardson,Horror,1990,,,1400000.0,,,,,,,,0
3 Men and a Little Lady,Emile Ardolino,Robert Cort,Walt Disney,Adam Greenberg,Tom Selleck,Steve Guttenberg,Ted Danson,Nancy Travis,Robin Weisman,Comedy,1990,,71563636.0,21500000.0,,Native-born,North America (US),US,,,,0
A Cry in the Wild,Mark Griffiths,Julie Corman,Concorde Productions,Gregg Heschong,Jared Rushton,Pamela Sue Martin,Stephen Meadows,Ned Beatty,,Adventure,1990,,,1000000.0,,,,,,,,1
A Girl to Kill For,Richard Oliver,Everett Chambers,,Ralph Young,Karen Medak,Sasha Jenson,Alex Cord,Karen Austin,Rod McCary,Action,1990,,,,,,,,,,,0
A Girl's Guide to Sex,Thomas R Rondinella,Tom G Gniazdowski,Six Shooter Films,Dennis Peters,Catherine Dent,Tom Gallop,Rachel True,Jim Barcena,Brad Friedman,Comedy,1990,,,,,,,,,,,0
A Life of Sin,Efrain Lopez Neris,,21st Century Film Corporation,Alex Philips,Raul Julia,Miriam Colon,Jose Ferrer,,,Drama,1990,,,,,,,,,,,0
A Little Stiff,Greg Watkins,Greg Watkins,Strand Releasing,Greg Watkins,Caveh Zahedi,Greg Watkins,Erin McKim,Patrick Park,Beat Ammon,Comedy,1990,,,10000.0,,,,,,,,0
A Nymphoid Barbarian in Dinosaur Hell,Brett Piper,Alex Pirnie,,,Linda Corwin,Paul Guzzi,Alex Pirnie,Mark Deshaies,K Alan Hodder,Comedy,1990,,,,,Native-born,North America (US),US,,,,0
A Shock to the System,Jan Egleson,Patrick McCormick,Corsair Pictures,Paul Goldsmith,Michael Caine,Elizabeth McGovern,Peter Riegert,Swoosie Kurtz,Will Patton,Comedy,1990,,2011868.0,,,Native-born,North America (US),US,,,,1
A Show of Force,Bruno Barreto,Fred Weintraub,,Jim Glennon,Amy Irving,Andy Garcia,Lou Diamond Phillips,Robert Duvall,Kevin Spacey,Adaptation,1990,,73405.0,10000000.0,,Foreign-born,,Brazilian,,,,1
Act of Piracy,"John ""Bud"" Cardos",Igor Kantor,Blossom Pictures,Vincent G Cox,Gary Busey,Nancy Mulford,Belinda Bauer,Ray Sharkey,Arnold Losloo,Action,1990,,,5500000.0,,,,,,,,1
Adventures in Dinosaur City,Brett Thompson,Luigi Cingolani,,Rick Fichter,Omri Katz,Shawn Hoffman,Tiffanie Poston,Pete Koch,Megan Hughes,Adventure,1991,,,,,,,,,,,0
"After Dark, My Sweet",James Foley,Robert Redlin,Astral Films,Mark Plummer,Jason Patric,Rachel Ward,Bruce Dern,Rocky Giordani,Tom Wagner,Adaptation,1990,,535000.0,7100000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Aftershock,Frank Harris,Roy McAree,,Frank Harris,Jay Roberts Jr.,Christopher Mitchum,Michael Standing,Elizabeth Kaitan,John Saxon,Action,1990,,,5000000.0,,Native-born,North America (US),US,,,,0
Ain't No Way Back,Michael Borden,James Hanson,,Nastaran Dibai,Campbell Scott,Virginia Lantry,John Durbin,Sean McGuirk,Joe Mays,Action,1990,,,,,,,,,,,0
Air America,Roger Spottiswoode,Daniel Melnick,TriStar Pictures,Roger Deakins,Mel Gibson,Robert Downey Jr.,Nancy Travis,Ken Jenkins,David Marshall Grant,Action,1990,,29219030.0,35000000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,2407668.0,1
Air Time,Gary Fleder,Daniel D Helberg,,Bruce Douglas Johnson,Tim Ahern,Michael Zelniker,Mary Otis,Sherrie M Quander,,Thriller,1991,,,,,,,,,,,0
Akira Kurosawa's Dreams,Akira Kurosawa,Hisao Kurosawa,,Takao Saito,Akira Terao,Mitsunori Isaki,Martin Scorsese,Chishû Ryû,Mieko Harada,Drama,1990,,1662886.0,12000000.0,,Foreign-born,,Japanese,,,,0
Alice,Woody Allen,David Gale,MGM,Carlo Di Palma,Joe Mantegna,Mia Farrow,William Hurt,June Squibb,Marceline A. Hugot,Comedy,1990,,6759247.0,16600000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Alien Space Avenger,Richard W Haines,Robert A Harris,,Mustapha Barat,Robert Prichard,Mike McClerie,Charity Staley,Gina Mastrogiacomo,Kirk Fairbanks,Adventure,1990,,,,,,,,,,,0
Alligator Eyes,John Feldman,John Feldman,Castle Hill Productions,Todd Crockett,Annabelle Larsen,Roger Kabler,John Alexander MacKay,Mary McLain,Allen McCulloch,Drama,1990,,,1000000.0,,,,,,,,0
Almost an Angel,John Cornell,John Cornell,,Russell Boyd,Paul Hogan,Linda Kozlowski,Elias Koteas,Doreen Lang,Robert Sutton,Comedy,1990,,6519481.0,24000000.0,,Foreign-born,,Australian,,,,0
American Born,Raymond Martino,Richard Pepin,,F Smith Martin,Joey Travolta,Andrew Zeller,Robert Gallo,Wendy MacDonald,George Simonelli,Drama,1990,,,,,,,,,,,0
American Boy: A Profile of Steven Prince,Martin Scorsese,Bert Lovitt,,Michael Chapman,,,,,,Documentary,1990,,,,,Native-born,North America (US),US,Male,Caucasian,,0
Angel Town,Eric Karson,Sunil R Shah,Taurus Entertainment Company,John LeBlanc,Olivier Gruner,Theresa Saldana,Frank Aragon,Tony Valentino,Peter Kong,Drama,1990,,,1800000.0,,,,,,,65000.0,0
Another 48 Hours,Walter Hill,Lawrence Gordon,Paramount Pictures,Matthew Leonetti,Eddie Murphy,Nick Nolte,Brion James,Kevin Tighe,Ed O'Ross,Action,1990,,78091960.0,40000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Any Man's Death,Thomas Clegg,John Karie,Film Ventures International,Vincent G Cox,John Savage,William Hickey,Mia Sara,Ernest Borgnine,Michael Lerner,Adventure,1990,,,7600000.0,,,,,,,,1
Arachnophobia,Frank Marshall,Kathleen Kennedy,Walt Disney,Mikael Salomon,Jeff Daniels,Harley Jane Kozak,John Goodman,Julian Sands,Stuart Pankin,Comedy,1990,,53194144.0,17500000.0,31000000.0,Native-born,North America (US),US,,,,1
Arena,Peter Manoogian,Irwin Yablans,Triumph Releasing,Mac Ahlberg,Paul Satterfield,Claudia Christian,Hamilton Camp,Marc Alaimo,Armin Shimerman,Action,1991,,,,,,,,,,,0
Austin Stories,Robert Rodriguez,,,,,,,,,Comedy,1990,,,,,Native-born,North America (US),US,Male,Latinx/Hispanic,,0
Avalon,Barry Levinson,Mark Johnson,TriStar Pictures,Allen Daviau,Armin Mueller-Stahl,Elizabeth Perkins,Joan Plowright,Kevin Pollak,Aidan Quinn,Drama,1990,,14874434.0,27000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Awakenings,Penny Marshall,Walter F. Parkes,Sony Pictures,Miroslav Ondrícek,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,John Heard,Biopic,1990,,49404987.0,29000000.0,,,,,,,,1
Back to the Future III,Robert Zemeckis,Bob Gale,Universal,Dean Cundey,Michael J. Fox,Christopher Lloyd,Mary Steenburgen,Tom Wilson,Lea Thompson,Adventure,1990,,82990725.0,40000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Backstab,James Kaufman,Tom Berry,Cinegem,Rodney Gibbons,James Brolin,Meg Foster,Dorothee Berryman,June Chadwick,Brett Halsey,Action,1990,,,2000000.0,,,,,,,,0
Backstreet Dreams,Rupert Hitzig,Jason O'Malley,Malofilms Distribution,Stephen M Katz,Brooke Shields,Jason O'Malley,Sherilyn Fenn,Tony Fields,Burt Young,Action,1990,,,5000000.0,,,,,,,,0
Bad Influence,Curtis Hanson,Steve Tisch,Triumph Releasing,Robert Elswit,Rob Lowe,James Spader,Lisa Zane,Christian Clemenson,Kathleen Wilhoite,Thriller,1990,,11313778.0,7000000.0,,Native-born,North America (US),US,,,,1
Bail Jumper,Christian Faber,Josephine Wallace,Angelika Films,Tomasz Magierski,Eszter Balint,B J Spalding,Tony Askin,Bo Brinkman,Alexandra Audr,Fantasy,1990,,,1500000.0,,,,,,,,0
Ballbuster,Eddie Beverly Jr.,Eddie Beverly Jr.,,Mark Van Bavel,Ivan Rogers,Bonnie Paine,W Randolph Galvin,Dossie Sansing,Richard Komo,Drama,1990,,,,,,,,,,,0
Basket Case 2,Frank Henenlotter,Edgar Ievins,Shapiro/Glickenhaus Entertainment,Robert M Baldwin,Kevin Van Hentenryck,Annie Louise Ross,Kathryn Meisle,Heather Rattray,Jason Evers,Comedy,1990,,,2000000.0,,Native-born,North America (US),US,,,,0
Beach Fever,Alexander Tabrizi,Aaron Biston,,Ron Vidor,Kato Kaelin,Jeff Asch,Rodney Ueno,Judea Brittain,Gloria J Morrison,Comedy,1990,,,,,,,,,,,0
Berkeley in the Sixties,Mark Kitchell,Mark Kitchell,Libra Films,Stephen Lighthill,Susan Griffin,Jentri Anders,Frank Bardacke,Hardy Frye,John Gage,Documentary,1990,,,,,,,,,,,0
Betsy's Wedding,Alan Alda,Martin Bregman,Walt Disney,Kelvin Pike,Alan Alda,Joey Bishop,Madeline Kahn,Anthony LaPaglia,Catherine O'Hara,Comedy,1990,,19740070.0,15000000.0,,,,,,,,1
Big Bad John,Burt Kennedy,Red Steagall,,Ken Lamkin,Ned Beatty,Jack Elam,Bo Hopkins,Jimmy Dean,John Dennis Johnston,Action,1990,,,,,,,,,,,1
Bird on A Wire,John Badham,Rob Cohen,Universal,Robert Primes,Mel Gibson,Goldie Hawn,David Carradine,Bill Duke,Joan Severance,Action,1990,,68831790.0,28800000.0,,,,,,,,1
Black and White: A Warrior's Quest,Karl Armstrong,Karl Armstrong,,,,,,,,Drama,1990,,,,,,,,,,,0
Black Cobra III: The Manila Connection,Stelvio Massi,Luciano Appignani,,Wolfango Alfi,Fred Williamson,Forry Smith,Debra Ward,Mike Monty,,Action,1990,,,,,Foreign-born,,Italian ,,,,0
Black Magic Woman,Deryn Warren,Deryn Warren,Trimark Pictures,Levie Isaacks,Apollonia Kotero,Mark Hamill,Amanda Wyss,Abadah Viera,Larry Hankin,Thriller,1991,,,,,,,,,,,1
Blind Fury,Phillip Noyce,Dan Grodnik,TriStar Pictures,Don Burgess,Rutger Hauer,Brandon Call,Terry O'Quinn,Lisa Blount,Noble Willingham,Action,1990,,2143231.0,15000000.0,,Foreign-born,,Australian ,,,,1
Blind Vision,Shuki Levy,Jonathon Braun,,Frank Byers,Lenny Von Dohlen,Deborah Shelton,Stoney Jackson,Robert Vaughn,Ned Beatty,Thriller,1990,,,,,Native-born,North America (US),US,,,,1
Blobermouth,Kent Skov,Jack H Harris,,,Robert Bucholz,Frances Kelly,Stephen L Rollman,Kent Skov,Connie Cook,Horror,1990,,,,,,,,,,,0
Blonde Emanuelle,Giorgio Ferrari,Giorgio Ferrari,3D Entertainment,Tom Randall,Mike Ranger,Serena Blacklord,William Margold,Con Covert,Suzy Wong,Drama,1990,,,,,,,,,,,0
Blood Games,Tanya Rosenberg,Yakov Bentsvi,,Sam Gart,Gregory Cummings,Laura Albert,Shelley Abblett,Luke Shay,Ross Hagen,Horror,1990,,,,,,,,,,,0
Blood Salvage,Tucker Johnston,Ken Sanders,Paragon Arts International,Michael Karp,John Saxon,Ray Walston,Lori Birdsong,Christian Hesler,Ralph Vaughn,Horror,1990,,,2500000.0,,,,,,,,0
Bloodfist II,Andrew Blumenthal,Roger Corman,Concorde Productions,Bruce Dorfman,"Don ""The Dragon"" Wilson",Rina Reyes,Joe Mari Avellana,Robert Marius,Maurice Smith,Action,1990,,,4000000.0,,,,,,,,0
Blue Planet,Ben Burtt,Graeme Ferguson,IMAX Corporation,David Douglas,,,,,,Documentary,1990,,,5000000.0,,,,,,,,0
Blue Steel,Kathryn Bigelow,Edward R. Pressman,MGM,Amir Mokri,Jamie Lee Curtis,Ron Silver,Clancy Brown,Elizabeth Peña,Louise Fletcher,Action,1990,,7701707.0,6500000.0,,Native-born,North America (US),US,Female,Caucasian,,1
Body Chemistry,Kristine Peterson,Alida Camp,Aquarius Releasing,Phedon Papamichael,Marc Singer),Mary Crosby,Lisa Pescia,David Kagen,H Bradley Barneson,Thriller,1990,,,4000000.0,,Native-born,North America (US),US,,,,0
Body Parts,Michael Paul Girard,Holly MacConkey,,Jerry Williams,Teri Lee,Phil Grossman,Johnny Mandell,Dick Monda,Clement Von Franckenstein,Horror,1991,,,,,,,,,,,0
Bonehead,Michael A Kory,Peter Conn,Expanded Entertainment,,,,,,,Animated,1990,,,,,,,,,,,0
Book of Days,Meredith Monk,Catherine Tatge,,Jerry Pantzer,Gerd Wameling,Toby Newman,Robert Een,Andrea Goodman,Lanny Harrison,Drama,1990,,,,,,,,,,,0
Border Shootout,Chris McIntyre,Chris McIntyre,,,Glenn Ford,Charlene Tilton,Cody Glenn,Michael Horse,Jeff Kaake,Western,1990,,,,,,,,,,,0
Born Killer,Kimberley Casey,Fritz Matthews,,Andrew Parke,Ty Hardin,Ted Prior,Fritz Matthews,Adam Tucker,Francine Lapensee,Action,1990,,,,,,,,,,,0
Born to Ski,Don Brolin,Kurt Miller,Warren Miller Entertainment,,,,,,,Documentary,1991,,,4000000.0,,,,,,,,0
Brain Dead,Adam Simon,Julie Corman,Concorde Productions,Rohn Schmidt),Bill Pullman,Bill Paxton,Bud Cort,Patricia Charbonneau,Nicholas Pryor,Fantasy,1990,,,1000000.0,,Native-born,North America (US),US,,,,1
Buried Alive,Gerard Kikoine,Harry Alan Towers,,Gerard Loubeau,Robert Vaughn,Donald Pleasence,Karen Witter,John Carradine,Nia Long,Horror,1990,,,,,,,,,,,1
Burndown,James Allen,Colin Stewart,,Paul Michelson,Cathy Moriarty,Peter Firth,Hal Orlandi,Hugh Rouse,Michael McCabe,Mystery,1990,,,,,,,,,,,0
Cadillac Man,Roger Donaldson,Charles Roven,Orion Pictures,David Gribble,Robin Williams,Tim Robbins,Pamela Reed,Fran Drescher,Zack Norman,Comedy,1990,,26925967.0,22300000.0,,Foreign-born,Oceania,Australia,Male,Caucasian,,1
California Casanova,Nat Christian,Ruth Landers,,Bryan Greenberg,Jerry Orbach,Audrey Landers,Tyrone Power Jr.,Bryan Genesse,Michelle Johnston,Action,1991,,,,,Native-born,North America (US),US,,,,0
Cartel,John Stewart,Ronnie Hadar,Shapiro/Glickenhaus Entertainment,Thomas L Callaway,Miles O'Keeffe,Don Stroud,Crystal Carson,Suzanne Slater,Bradley Pierce,Action,1990,,,800000.0,,,,,,,,0
Chains of Gold,Rod Holcomb,Jonathan D Krane,Cineplex Odeon Films,Dariusz Wolski,John Travolta,Marilu Henner,Joseph Lawrence,Bernie Casey,Ramón Franco,Action,1991,,,,,,,,,,,1
Chance,Charles Kanganis,Richard Pepin,,,Lawrence-Hilton Jacobs,Dan Haggerty,Roger Rodd,Addison Randall,Richard Allen,Action,1990,,,,,,,,,,,0
Chattahoochee,Mick Jackson,Aaron Schwab,Cineplex Odeon Films,Andrew Dunn,Gary Oldman,Dennis Hopper,Frances McDormand,Pamela Reed,Ned Beatty,Biopic,1990,,17471.0,9500000.0,,Foreign-born,Europe,United Kingdom,Male,Caucasian,,1
Child's Play 2,John Lafia,David M. Kirschner,Universal,Stefan Czapsky,Alex Vincent,Jenny Agutter,Gerrit Graham,Christine Elise,Grace Zabriskie,Horror,1990,,26874812.0,12000000.0,13000000.0,Native-born,North America (US),US,,,7262000.0,0
China Cry,James F Collier,Don L Parker,Penland Company,David Worth,Julia Nickson,Russell Wong,James Shigeta,France Nuyen,Philip Tan,Biopic,1990,,1326777.0,2000000.0,,,,,,,,0
China O'Brien II,Robert Clouse,Fred Weintraub,,Kent Wakeford,Cynthia Rothrock,Richard Norton,Keith Cook,Frank Magner,Harlow Marks,Drama,1991,,,,,Native-born,North America (US),US,,,,0
Chinatown Connection,Jean-Paul Ouellette,Michael Emerson,,,Bruce Ly,Lee Majors II,Pat McCormick,Art Camacho,Fitz Houston,Drama,1990,,,,,Native-born,North America (US),US,,,,0
Christo in Paris,David Maysles,Susan Froemke,,Albert Maysles,Jeanne-Claude,,,,,Documentary,1990,,,,,,,,,,,0
Circuitry Man,Steven Lovy,John Schouweiler,,Jamie Thompson,Jim Metzler,Dana Wheeler-Nicholson,Dennis Christopher,Lu Leonard,Barbara Alyn Woods,Adventure,1990,,,,,,,,,,,0
Claiming a Voice,Arthur Dong,,,,,,,,,Documentary,1990,,,,,Native-born,North America (US),US,,,,0
Class of 1999,Mark L. Lester,Mark L. Lester,Taurus Entertainment Company,Mark Irwin),Malcolm McDowell,Bradley Gregg,John P Ryan,Pam Grier,Stacy Keach,Action,1990,,1400149.0,7500000.0,,Native-born,North America (US),US,Male,,,1
Click,John Stewart,Carol Lynn,Crown International Pictures,Thomas L Callaway,Ross Hagen,Gregory Scott Cummins,Keely Sims,Hoke Howell,Troy Donahue,Thriller,1990,,,,,,,,,,,0
Club Fed,Nat Christian,Ruth Landers,,Arledge Armenaki,Judy Landers,Burt Young,Lance Kinsey,Karen Black,Sherman Hemsley,Comedy,1990,,,,,Native-born,North America (US),US,,,,0
Coldfire,Wings Hauser,Richard Pepin,,Richard Pepin,Wings Hauser,Kamar Reyes,Michael Easton,Darcy DeMoss,Asher Brauner,Action,1990,,,,,,,,,,,0
Come See the Paradise,Alan Parker,Robert F Colesberry,20th Century Fox,Michael Seresin,Dennis Quaid,Tamlyn Tomita,Sab Shimono,Shizuko Hoshi,Stan Egi,Drama,1990,,850563.0,25000000.0,,Foreign-born,,,Male,,,1
Committed,William A Levey,Alan Amiel,,Hans Kuhle Jr.,Jennifer O'Neill,Robert Forster,Sydney Lassick,Ron Pallilo,William Windom,Drama,1991,,,3000000.0,,,,,,,,1
