Name,Dirct1,Prodc1,Distributor,Cinematographer1,Actor1,Actor2,Actor3,Actor4,Actor5,Genre,us.year,us.quarter,domestic_bo,budget_nielsen,budget_numbers,director_imm,director_continent,director_country,director_gender,director_race,international_bo,topstar
Under Heaven,Meg Richman,Robin Schorr,Banner Pictures,Claudio Rocha,Joely Richardson,Aden Young,Molly Parker,Kevin Phillip,Krisha Fairchild,Adaptation,1998,,,,,,,,,,,0
Undercurrent,Frank Kerr,Wayne Behar,,Carlos Gaviria,Lorenzo Lamas,Brenda Strong,Frank Vincent,,,Thriller,1998,,,,,,,,,,,0
Unmade Beds,Nicholas Barker,Steve Wax,Red Sky Entertainment,William Rexer,Brenda Monte,Michael DeStefano,Aimee Copp,Michael Russo,Lori Worcester,Comedy,1998,,269758.0,,,,,,,,,0
Uprising,,Steve Jones,Teton Gravity Research,,,,,,,Documentary,1998,,,,,,,,,,,0
Urban Legend,Jamie Blanks,Neal H. Moritz,Sony Pictures,James Chressanthis,Jared Leto,Alicia Witt,Rebecca Gayheart,Michael Rosenbaum,Loretta Devine,Horror,1998,,38071499.0,20900000.0,14000000.0,Foreign-born,,Australian,,,34455157.0,1
Urban Menace,Albert Pyun,Tom Karnowski,,Philip Alan Waters,Snoop Dogg,Karen Dyer,Ernie Hudson Jr.,Fat Joe,Vincent Klyn,Action,1999,,,,,,,,,,,0
Urban Safari,,,,,David Naughton,Linda Kash,Andrea Nemeth,Donnelly Rhodes,,Comedy,1998,,,,,,,,,,,0
Valerie Flake,John Putch,Julie Philips,,Mark Putman,Susan Traylor,Jay Underwood,Christina Pickles,Peter Michael Goetz,Rosemary Forsyth,Drama,1999,,,,,,,,,,,0
Variations,Nathaniel Dorsky,,,,,,,,,Experimental,1998,,,,,,,,,,,0
Velvet Goldmine,Todd Haynes,Christine Vachon,Miramax,Maryse Alberti,Ewan McGregor,Jonathan Rhys Meyers,Toni Collette,Christian Bale,Eddie Izzard,Comedy,1998,,1043487.0,10000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Very Bad Things,Peter Berg,Michael Schiffer,Polygram,David Hennings,Christian Slater,Cameron Diaz,Daniel Stern,Jeanne Tripplehorn,Jon Favreau,Comedy,1998,,9910898.0,10000000.0,10000000.0,Native-born,North America (US),US,Male,Caucasian,11145504.0,1
Vietnam Long Time Coming,Peter Gilbert,Peter Gilbert,Seventh Art Releasing,Peter Gilbert,,,,,,Documentary,1998,,,,,Native-born,North America (US),US,Male,Caucasian,,0
Virtual Encounters 2,Sybil Richards,Don Pascual,,Howard Wexler,Ethan Hunt,John Roberts,Brandy Davis,Jill Tompkins,Nikki Fritz,Comedy,1998,,,,,,,,,,,0
Voices Unheard,Beth B,Sara Diamond,,Phil Parmet,,,,,,Documentary,1998,,,,,Native-born,North America (US),US,Female,,,0
Walking to the Waterline,Matt Mulhern,Lemore Syvan,,Kurt Lenig,Matthew Broderick,Hal Holbrook,Elizabeth Franz),Alan Ruck,Beverly Archer,Comedy,1998,,,250000.0,,Native-born,North America (US),US,,,,1
War Zone,Maggie Hadleigh-West,Hank Levine,Film Fatale Incorporated,Todd Leibler,Maggie Hadleigh-West,Sheila Adimoolah,Natasha Ali,Gina T Charbonnet,Trelles Delandro,Documentary,1998,,,,,,,,,,,0
Weed,Doug Wolens,Doug Wolens,Doug Wolens Releasing,Doug Wolens,,,,,,Documentary,1998,,,,,,,,,,,0
Welcome to Hollywood,Anthony Markes,Anthony Markes,,Kramer Morgenthau,Adam Rifkin,Anthony Markes,Angie Everhart,David Andriole,Tom Arnold,Comedy,1998,,,,,,,,,,,0
West New York,Phil Gallo,Donna Miller,White Whale Films,Jonathan Rho,Frank Vincent,Gian DiDonna,Gloria Darpino,Brian McCormack,Brian Burke,Crime,1998,,,,,,,,,,,0
What Dreams May Come,Vincent Ward,Stephen Simon,Polygram,Eduardo Serra,Robin Williams,Cuba Gooding Jr.,Annabella Sciorra,Max von Sydow,Jessica Brooks Grant,Adaptation,1998,,55450488.0,75466000.0,80000000.0,Foreign-born,,New Zealand,,,16000000.0,1
Whatever,Susan Skoog,Ellin Baumel,Sony Pictures,Michael Mayers,Liza Weil,Chad Morgan,Frederic Forrest,Dan Montano,John Gleeson Connolly,Drama,1998,,307037.0,1000000.0,,,,,,,,0
Whatever It Takes,Brady Makenzie,Damon Rein,,Anrea Rossotto,Andrew Dice Clay,"Don ""The Dragon"" Wilson",Fred Williamson,Leslie Danon,Craig Susser,Action,1998,,,,,,,,,,,0
When,Ricardo Scipio,Ann Marie Spina,,David Klein,Mackenzie Phillips,Kim Page,Victoria Guthrie,Rudolf Martin,Kittean Little,Drama,1998,,,,,,,,,,,0
When I'm 35,Frank Pinto,,,,,,,,,Drama,1998,,,,,,,,,,,0
Which Side Eden,Vojtech Jasný,Ludvik Nemek,,Juraj Sajmovic,Vladimir Pucholt,Ingrid Timkova,Adam Davidson,Jakub Laurych,Emilia Vásáryová,Drama,1999,,,,,,,,,,,0
Whipped,Sasha Waters Freyer,Sasha Waters Freyer,,Iana Porter,Sonja Blaze,Eva Taurel,,,,Documentary,1998,,,,,,,,Female,,,0
Why Do Fools Fall in Love?,Gregory Nava,Paul Hall,Warner Bros.,Edward Lachman,Larenz Tate,Vivica A. Fox,Lela Rochon,Halle Berry,Pamela Reed,Drama,1998,,12492319.0,17600000.0,,,,,,,,1
Wide Awake,M. Night Shyamalan,Cary Woods,Miramax,Adam Holender,Denis Leary,Rosie O'Donnell,Dana Delany,Robert Loggia,Joseph Cross,Comedy,1998,,258212.0,12500000.0,,Foreign-born,Asia,India,Male,,,0
Wild Man Blues,Barbara Kopple,Jean Doumanian,Fine Line Features,Tom Hurwitz,Woody Allen,Letty Aronson,Jean Doumanian,John Doumanian,Nettie Koningsberg,Documentary,1998,,526379.0,1250000.0,,Native-born,North America (US),US,Female,Caucasian,,1
Wild Things,John McNaughton,Rodney Liber,Sony Pictures,Jeffrey L Kimball,Kevin Bacon,Matt Dillon,Neve Campbell,Theresa Russell,Denise Richards,Crime,1998,,29753944.0,33000000.0,20000000.0,Native-born,North America (US),US,Male,Caucasian,25781400.0,1
Williamstowne,Richard Horian,Richard Horian,,Richard Brooks,Deni Delory,Richard Horian,Lynn Britt,Brian Heath,Cheri Severns,Drama,1998,,,,,,,,,,,0
Witchcraft X,Elisar Cabrera,,,,Eileen Daly,Wendy Cooper,Stephanie Beaton,Kerry Knowlton,,Horror,1998,,,,,,,,,,,0
Without Limits,Robert Towne,Tom Cruise,Warner Bros.,Conrad L. Hall,Billy Crudup,Donald Sutherland,Monica Potter,Jeremy Sisto,Matthew Lillard,Biopic,1998,,777423.0,5625000.0,,Native-born,North America (US),US,,,,1
Women of Vision: 18 Histories in Feminist Film,Alexandra Juhasz,,,,,,,,,Documentary,1998,,,,,,,,,,,0
Woo,Daisy von Scherler Mayer,Beth Hubbard,Alliance Films,Jean Lepine,,,,,,Comedy,1998,,8056641.0,18750000.0,,Native-born,North America (US),US,,,,0
Wrongfully Accused,Pat Proft,Pat Proft,Warner Bros.,Glen MacPherson,Leslie Nielsen,Kelly LeBrock,Michael York,Richard Crenna,Sandra Bernhard,Action,1998,,9604029.0,24200000.0,,,,,,,,1
Yellow,Chris Chan Lee,David Yang,Phaedra Cinema,Theodore Cohen,Michael Daeho Chung,Burt Bulos,Angie Suh,Mia Suh,John Cho,Comedy,1998,,,,,Native-born,North America (US),US,,,,0
Your Friends & Neighbors,Neil LaBute,Steve Golin,Gramercy Pictures,Nancy Schreiber,Amy Brenneman,Aaron Eckhart,Catherine Keener,Nastassja Kinski,Jason Patric,Adaptation,1998,,4710749.0,5060000.0,,Native-born,North America (US),US,Male,Caucasian,,1
You're Dead,Andy Hurst,Marco Weber,,Wedigo Von Schultzendorff,,,,,,Sci-Fi,1999,,,,,,,,,,,0
You've Got Mail,Nora Ephron,Lauren Shuler Donner,Warner Bros.,John Lindley,Tom Hanks,Meg Ryan,Parker Posey,Jean Stapleton,Dave Chappelle,Romantic Comedy,1998,,115731542.0,60000000.0,65000000.0,,,,,,134978505.0,1
Zack & Reba,Nicole Bettauer,Dan Grodnik,,,Sean Patrick Flanery,Brittany Murphy,Debbie Reynolds,Martin Mull,Michael Jeter,Comedy,1998,,,,,,,,,,,1
Zero Effect,Jake Kasdan,Lisa Henson,Sony Pictures,Bill Pope,Bill Pullman,Ben Stiller,Ryan O'Neal,Kim Dickens,Angela Featherstone,Comedy,1998,,1980338.0,15000000.0,,Native-born,North America (US),US,Male,Caucasian,,1
(an act of ...) Sabotage,Christopher Anderson,Claudia Trunnier,,Christopher Anderson,Bettina Hurzner,Rahane Abrahams,Ross Campbell,Kevin Evensen,Peter Van Lenger,Drama,1999,,,,,,,,,,,0
10 Things I Hate About You,Gil Junger,Andrew Lazar,Walt Disney,Mark Irwin),Heath Ledger,Julia Stiles,Joseph Gordon-Levitt,Larisa Oleynik,David Krumholtz,Romantic Comedy,1999,,38176108.0,14300000.0,13000000.0,Native-born,North America (US),US,,,22235984.0,1
2 By 4,Jimmy Smallhorne,John Hall,Strand Releasing,Declan Quinn,Jimmy Smallhorne,Chris O'Neill,Bradley Fitts,Joe Holyoake,Terrence McGoff,Drama,1999,,16637.0,100000.0,,Foreign-born,,Irish,,,,0
20 Dates,Myles Berkowitz,Mark McGarry,Searchlight Pictures,Adam Biggs,Myles Berkowitz,Elizabeth Wagner,Richard Arlook,,,Comedy,1999,,536767.0,1250000.0,,,,,,,,0
200 Cigarettes,Risa Bramon Garcia,Betsy Beers,Paramount Pictures,Frank Prinzi,Ben Affleck,Casey Affleck,Angela Featherstone,Janeane Garofalo,Kate Hudson,Comedy,1999,,6851636.0,14300000.0,,,,,,,,1
24 Nights,Kieran Turner,Kieran Turner,,Scott Barnard,Kevin Isola,Aida Turturro,Stephen Mailer,David Burtka,Robert Bogue,Comedy,1999,,,,,,,,,,,0
4am - Open All Night,J Miller Tobin,,,,Tate Donovan,Kevin Geer,Wendy Makkena,Rod McLachlan,,Comedy,1999,,,,,Native-born,North America (US),US,,,,0
75 Degrees in July,Hyatt Bass,Hyatt Bass,Menemsha Entertainment,Michael Barrett,Shirley Knight,William R. Moses,Karen Sillas,Heidi Swedberg,Harris Yulin,Drama,2000,,,,,Native-born,North America (US),US,,,,0
8mm,Joel Schumacher,Gavin Polone,Sony Pictures,Robert Elswit,Nicolas Cage,Joaquin Phoenix,James Gandolfini,Peter Stormare,Anthony Heald,Action,1999,,36283504.0,58300000.0,,Native-born,North America (US),US,,,,1
A Conversation With Gregory Peck,Barbara Kopple,,,Don Lenzer,,,,,,Documentary,1999,,,,,Native-born,North America (US),US,Female,Caucasian,,0
A Cool Dry Place,John N Smith,Katie Jacobs,20th Century Fox,Jean Lepine,Vince Vaughn,Monica Potter,Joey Lauren Adams,Devon Sawa,Bobby Moat,Adaptation,1999,,,,,,,,,,,1
A Dog of Flanders,Kevin Brodie,Frank Yablans,Warner Bros.,Walther Vanden Ende,Jon Voight,Jack Warden,Jeremy James Kissner,Jesse James,Cheryl Ladd,Adaptation,1999,,2148212.0,6050000.0,,Native-born,North America (US),US,,,,1
A Fish in the Bathtub,Joan Micklin Silver,Joan Micklin Silver,Northern Arts Entertainment,Daniel Shulman,Jerry Stiller,Anne Meara,Mark Ruffalo,Jane Adams,Lauren Pratt,Comedy,1999,,1237.0,,,Native-born,North America (US),US,,,,1
A Fish Out of Water,Geoffrey Edwards,Richard Goudreau,Lionsgate,Georges Archambault,John Heard,Christopher Heyerdahl,Patrick Thomas,Larry Day,Victor Knight,Action,1999,,,,,,,,,,,0
A Force More Powerful,Steve York,Steve York,,Peter Pearce,Devavrat Pathak,Dr. Aloo Dastur,Alyque Padamsee,Stanley Wolpert,Dr. Usha Mehta,Documentary,1999,,,,,Native-born,North America (US),US,,,,0
A Map of the World,Scott Elliott,Kathleen Kennedy,USA Films,Seamus McGarvey,Julianne Moore,Sigourney Weaver,Arliss Howard,David Strathairn,Chloë Sevigny,Adaptation,1999,,610981.0,7500000.0,,,,,Male,,,1
A Sign From God,Greg Watkins,Greg Watkins,,Jennifer Jew,Caveh Zahedi,Laura Macias,Celia Gamburg,Francisca Schneider,Moe Ghassemi,Comedy,1999,,,,,,,,,,,0
A Stranger in the Kingdom,Jay Craven,Jay Craven,Kingdom Come Pictures,Philip Holahan,David Landsbury,Ernie Hudson,Martin Sheen,Bill Raymond,Sean Nelson,Adaptation,1999,,,,,,,,Male,Caucasian,,1
A System Devoured,Thomas J Churchill,Thomas J Churchill,,William O Eichler,Ahnna Rasch,Alan Chan,Thomas J Churchill,Frank Pietrangolare,John Anthony,Action,1999,,,,,,,,,,,0
A Walk on the Moon,Tony Goldwyn,Neil Koenigsberg,Miramax,Anthony B Richmond,Diane Lane,Liev Schreiber,Anna Paquin,Tovah Feldshuh,Viggo Mortensen,Comedy,1999,,4741987.0,21250000.0,,,,,,,,1
Absolution,David DeCoteau,John Eyres,,Howard Wexler,Mario Lopez,Jaime Pressly,Richard Grieco,Greg Serano,Nick Spano,Horror,1999,,,,,Native-born,North America (US),US,Male,,,0
Across the Line,Martin Spottl,Brian Duncan,,,Sigal Erez,Brian Bloom,Marshall Teague,Justin Urich,Adrienne Barbeau,Thriller,1999,,,,,Native-born,North America (US),US,,,,0
Adios East Los,William Douglas Lansford,Christopher J Kinsman,,,Douglas Spain,Eddie Alcazar,Ruben Garfias,Evelina Fernández,Pete Moraga Jr.,Drama,1999,,,,,,,,,,,0
Adventures of the Zordine Warriors,Jerry Wolfe,Dan Ivan,,Michael Johnson,Ziggy Van,Derek Thompson,Robert Hunt,Pat Diross,Mark Stomenoff,Action,1999,,,,,,,,,,,0
Adwa: An African Victory,Haile Gerima,Haile Gerima,,Agustin Cubano,,,,,,Documentary,1999,,,,,Foreign-born,,Ethiopian,,,,0
After the Rain,Ross Kettle,Melanie Greene,,Koos Roets,,,,,,Drama,1999,,,,,,,,,,,0
Agent of Death,Sam Firstenberg,Frank DeMartini,,Gerry Lively,Eric Roberts,Bryan Genesse,Ice-T,Michael Madsen,Brooke E Theiss,Action,1999,,,,,Native-born,North America (US),US,,,,0
Agnes Browne,Anjelica Huston,,USA Films,Anthony B Richmond,,,,,,Adaptation,1999,,140426.0,500000.0,,,,,,,,0
Airmania (Paschke),Marc Paschke,Eric Braverman,,,Eric Braverman,,,,,Documentary,1999,,,,,,,,,,,0
Aliens in the Wild Wild West,George Erschbamer,Charles Band,,Calin Ghibu,Taylor Locke,Carly Pope,Barna Moricz,Markus Parilo,Gerry Quigley,Fantasy,1999,,,,,,,,,,,0
All About My Mother,Pedro Almodóvar,Claude Berri,Sony Pictures,Affonso Beato,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,Penélope Cruz,Comedy,1999,,8264530.0,6250000.0,,Foreign-born,Europe,Spain,Male,Latinx/Hispanic,,1
Amargosa,Todd Robinson,Kenneth A. Carlson,,Curt Apduhan,Marta Becket,Tom Willett,Ray Bradbury,Paul Lyday,,Documentary,2000,,,,,,,,,,,0
American Beauty,Sam Mendes,Bruce Cohen,Dreamworks SKG,Conrad L. Hall,Kevin Spacey,Annette Bening,Thora Birch,Wes Bentley,Mena Suvari,Comedy,1999,,130058047.0,17600000.0,15000000.0,Foreign-born,Europe,United Kingdom,Male,Caucasian,226200000.0,1
American Hollow,Rory Kennedy,Rory Kennedy,,Nick Doob,,,,,,Documentary,1999,,,,,Native-born,North America (US),US,Female,Caucasian,,0
American Intellectuals,Paige Taylor,Lora Zuckerman,,,Portia de Rossi,Shawnee Free Jones,Allison Dean,Andrew Lauren,Michael Sutton,Comedy,1999,,,,,,,,,,,0
American Job,Chris Smith,Chris Smith,,Chris Smith,Randy Russell,Tom Wheeler,Charles Smith,Eric Lezotte,Dave O'Meara,Comedy,1999,,,14000.0,,Native-born,North America (US),US,Male,,,0
American Movie,Chris Smith,Sarah Price,Sony Pictures,Chris Smith,Tom Shimmels,Monica Borchardt,Alex Borchardt,Chris Borchardt,Ken Keen,Documentary,1999,,1160426.0,6250000.0,,Native-born,North America (US),US,Male,,,0
American Pie,Paul Weitz,Chris Weitz,Universal,Richard Crudo,Jason Biggs,Jennifer Coolidge,Shannon Elizabeth,Alyson Hannigan,Chris Klein,Comedy,1999,,101736215.0,13200000.0,12000000.0,Native-born,North America (US),US,Male,Caucasian,132922200.0,1
An American Love Story,Jennifer Fox,Jennifer Fox,American Playhouse,Jennifer Fox,,,,,,Documentary,1999,,,,,,,,Female,,,0
Analyze This,Harold Ramis,Jane Rosenthal,Warner Bros.,Stuart Dryburgh,Billy Crystal,Robert De Niro,Lisa Kudrow,Chazz Palminteri,Bill Macy,Comedy,1999,,106823373.0,48000000.0,30000000.0,,,,,,70000000.0,1
And Baby Makes Two,Judy Katz,Judy Katz,First Run Features,Oren Rudavsky,Debbie,Jan,Lori,Jen,Karen,Comedy,1999,,4058.0,100000.0,,,,,,,,0
Angela's Ashes,Alan Parker,Scott Rudin,Paramount Pictures,Michael Seresin,,,,,,Adaptation,1999,,13038660.0,31875000.0,25000000.0,Foreign-born,,,Male,,,0
Animalicious,Mark Lewis,,,,,,,,,Documentary,1999,,,,,,,,,,,0
Anna and the King,Andy Tennant,Lawrence Bender,20th Century Fox,Caleb Deschanel,Jodie Foster,Chow Yun-Fat,Bai Ling,Tom Felton,Syed Alwi,Drama,1999,,39251128.0,83600000.0,,Native-born,North America (US),US,Male,Caucasian,,1
Annie Sprinkle's Herstory of Porn,Annie Sprinkle,,,,,,,,,Documentary,1999,,,,,,,,,,,0
Anoosh of the Airwaves,James Westby,Timothy Whitcomb,,Greg Gardiner,Melik Malkasian,Steven Clark Pachosa,Barbara Niven,Kelly Tallent,Michael Fetters,Comedy,1999,,,,,,,,,,,0
Any Given Sunday,Oliver Stone,Lauren Shuler Donner,Warner Bros.,Salvatore Totino,Al Pacino,Cameron Diaz,Dennis Quaid,James Woods,Jamie Foxx,Action,1999,,75530832.0,61600000.0,60000000.0,Native-born,North America (US),US,Male,Caucasian,24700000.0,1
Anywhere But Here,Wayne Wang,Laurence Mark,20th Century Fox,Roger Deakins,Susan Sarandon,Natalie Portman,Eileen Ryan,Ray Baker,John Diehl,Adaptation,1999,,18653615.0,27500000.0,,Foreign-born,Asia,Hong Kong,Male,Asian,,1
Arlington Road,Mark Pellington,Peter Samuelson,Sony Pictures,Bobby Bukowski,Jeff Bridges,Tim Robbins,Joan Cusack,Hope Davis,Robert Gossett,Action,1999,,24362501.0,20240000.0,21500000.0,Native-born,North America (US),US,Male,Caucasian,,1
Artists in Exile: A Story of Modern Dance in San Francisco,Austin Forbord,Austin Forbord,Rapt Productions,Austin Forbord,Anna Halprin,Terry Sendgraff,Tumbleweed,Mangrove,Margaret Jenkins,Documentary,2000,,,,,,,,,,,0
At First Sight,Irwin Winkler,Irwin Winkler,MGM,John Seale,Val Kilmer,Mira Sorvino,Kelly McGillis,Steven Weber,Bruce Davison,Adaptation,1999,,22356800.0,46200000.0,,Native-born,North America (US),US,,,,1
Atalanta,Samuael Topiary,,,,Samuael Topiary,Remy Charlip,Jessica Lutes,Sarah Gina Jones,Sue Roginski,,1999,,,,,,,,,,,0
Attack of the Bat Monsters,Kelly Greene,Mark Spacek,,Tom Hennig,Michael Dalmon,Fred Ballard,Casie Waller,Ryan Wickerham,Douglas Taylor,Comedy,2000,,,,,,,,,,,0
Attention Shoppers,Philip Charles MacKenzie,Lysa Heslov,,,Nestor Carbonell,Michael Lerner,Luke Perry,Martin Mull,Carlos Jacott,Comedy,2000,,,,,Native-born,North America (US),US,,,,1
Auditions,Michael Tierno,Judy Quinn,,Dan Buonsanto,Jeff Farber,Jules Gregory,Marc Krinsky,Tom Lawrence,Susan Mitchell,Comedy,1999,,,,,,,,,,,0
Auditions From Beyond,Reed Richmond,Pat Siciliano,,Lester Wisbrod,Jacqueline Lovell,Venesa Talor,Nikki Fritz,Mia Church,Taimie Lynn Hannum,Sci-Fi,1999,,,,,,,,,,,0
